"Time","busy_dijkstra","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hopeful_dubinsky","loving_gauss","magical_bhabha","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-28 23:18:15,,26.2 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,,2.37 MiB,3.98 MiB,3.79 MiB,12.9 MiB,8.86 MiB,5.51 MiB,58.9 MiB
2026-07-28 23:18:30,,26.2 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,,2.40 MiB,4.01 MiB,3.81 MiB,12.9 MiB,8.86 MiB,5.51 MiB,58.9 MiB
2026-07-28 23:18:45,,26.2 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,,2.40 MiB,4.01 MiB,4.15 MiB,12.9 MiB,8.86 MiB,5.51 MiB,58.9 MiB
2026-07-28 23:19:00,0 B,26.2 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,2.40 MiB,4.16 MiB,4.30 MiB,13.1 MiB,12.3 MiB,5.81 MiB,58.9 MiB
2026-07-28 23:19:15,0 B,26.2 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,2.55 MiB,4.17 MiB,4.30 MiB,13.1 MiB,12.3 MiB,8.96 MiB,58.9 MiB
2026-07-28 23:19:30,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,2.56 MiB,4.18 MiB,4.32 MiB,13.1 MiB,12.3 MiB,8.96 MiB,59.0 MiB
2026-07-28 23:19:45,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,2.58 MiB,4.19 MiB,4.33 MiB,13.1 MiB,12.3 MiB,8.98 MiB,59.0 MiB
2026-07-28 23:20:00,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,2.58 MiB,6.30 MiB,4.33 MiB,13.1 MiB,15.2 MiB,8.98 MiB,59.0 MiB
2026-07-28 23:20:15,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,10.5 MiB,12.0 MiB,12.5 MiB,20.9 MiB,16.7 MiB,13.7 MiB,59.1 MiB
2026-07-28 23:20:30,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,14.0 MiB,18.2 MiB,12.5 MiB,25.8 MiB,19.0 MiB,13.7 MiB,59.2 MiB
2026-07-28 23:20:45,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,21.7 MiB,18.2 MiB,24.4 MiB,33.4 MiB,22.5 MiB,20.3 MiB,59.2 MiB
2026-07-28 23:21:00,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,25.8 MiB,30.6 MiB,30.6 MiB,33.4 MiB,25.5 MiB,23.4 MiB,59.2 MiB
2026-07-28 23:21:15,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,25.8 MiB,36.5 MiB,35.8 MiB,41.1 MiB,28.9 MiB,25.7 MiB,59.2 MiB
2026-07-28 23:21:30,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,37.5 MiB,41.3 MiB,35.8 MiB,51.1 MiB,33.2 MiB,28.6 MiB,59.2 MiB
2026-07-28 23:21:45,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,42.8 MiB,41.3 MiB,43.6 MiB,51.1 MiB,36.0 MiB,28.6 MiB,59.3 MiB
2026-07-28 23:22:00,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,48.9 MiB,49.4 MiB,50.4 MiB,58.4 MiB,38.9 MiB,34.2 MiB,59.3 MiB
2026-07-28 23:22:15,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,55.7 MiB,60.4 MiB,57.8 MiB,66.4 MiB,41.6 MiB,37.4 MiB,59.3 MiB
2026-07-28 23:22:30,0 B,26.3 MiB,0 B,4 KiB,284 MiB,1.40 MiB,0 B,24 KiB,62.3 MiB,65.5 MiB,65.0 MiB,72.5 MiB,41.6 MiB,37.4 MiB,59.3 MiB
2026-07-28 23:22:45,0 B,26.3 MiB,0 B,4 KiB,284 MiB,,,24 KiB,69.7 MiB,71.0 MiB,65.0 MiB,77.8 MiB,47.8 MiB,44.0 MiB,59.3 MiB
2026-07-28 23:23:00,0 B,26.3 MiB,0 B,4 KiB,284 MiB,,,24 KiB,69.7 MiB,76.3 MiB,72.7 MiB,85.6 MiB,50.5 MiB,44.0 MiB,59.3 MiB
2026-07-28 23:23:15,0 B,26.3 MiB,0 B,0 B,284 MiB,,,24 KiB,78.1 MiB,83.3 MiB,80.5 MiB,92.2 MiB,45.6 MiB,45.3 MiB,59.4 MiB
2026-07-28 23:23:30,0 B,26.3 MiB,0 B,0 B,284 MiB,,,24 KiB,80.6 MiB,85.3 MiB,81.5 MiB,79.3 MiB,49.0 MiB,45.3 MiB,59.4 MiB
2026-07-28 23:23:45,0 B,26.3 MiB,0 B,0 B,284 MiB,,,24 KiB,87.8 MiB,90.9 MiB,92.3 MiB,87.2 MiB,52.3 MiB,51.1 MiB,59.4 MiB
2026-07-28 23:24:00,,26.3 MiB,0 B,0 B,284 MiB,,,,93.9 MiB,94.9 MiB,98.0 MiB,96.6 MiB,56.4 MiB,57.1 MiB,59.4 MiB
2026-07-28 23:24:15,,26.3 MiB,0 B,0 B,284 MiB,,,,101 MiB,94.9 MiB,104 MiB,96.6 MiB,58.9 MiB,57.1 MiB,59.4 MiB
2026-07-28 23:24:30,,26.3 MiB,0 B,0 B,284 MiB,,,,107 MiB,106 MiB,110 MiB,110 MiB,62.0 MiB,61.3 MiB,59.4 MiB
2026-07-28 23:24:45,,26.3 MiB,0 B,0 B,284 MiB,,,,107 MiB,113 MiB,115 MiB,110 MiB,65.3 MiB,64.7 MiB,59.4 MiB
2026-07-28 23:25:00,,26.3 MiB,0 B,0 B,284 MiB,,,,118 MiB,113 MiB,115 MiB,121 MiB,68.6 MiB,68.9 MiB,59.5 MiB
2026-07-28 23:25:15,,26.3 MiB,0 B,0 B,284 MiB,,,,124 MiB,123 MiB,123 MiB,121 MiB,71.9 MiB,72.9 MiB,59.5 MiB
2026-07-28 23:25:30,,26.3 MiB,0 B,0 B,284 MiB,,,,124 MiB,123 MiB,127 MiB,127 MiB,71.9 MiB,72.9 MiB,59.5 MiB
2026-07-28 23:25:45,,26.3 MiB,0 B,0 B,284 MiB,,,,140 MiB,141 MiB,154 MiB,127 MiB,80.5 MiB,79.6 MiB,59.5 MiB
2026-07-28 23:26:00,,26.3 MiB,0 B,0 B,284 MiB,,,,159 MiB,155 MiB,172 MiB,158 MiB,89.1 MiB,79.6 MiB,59.5 MiB
2026-07-28 23:26:15,,26.3 MiB,0 B,0 B,284 MiB,,,,180 MiB,174 MiB,172 MiB,179 MiB,99.4 MiB,101 MiB,59.5 MiB
2026-07-28 23:26:30,,26.3 MiB,0 B,0 B,285 MiB,,,,180 MiB,209 MiB,193 MiB,199 MiB,113 MiB,111 MiB,59.6 MiB
2026-07-28 23:26:45,,26.3 MiB,0 B,0 B,285 MiB,,,,166 MiB,223 MiB,227 MiB,199 MiB,122 MiB,122 MiB,59.6 MiB
2026-07-28 23:27:00,,26.2 MiB,0 B,0 B,273 MiB,,,,176 MiB,171 MiB,173 MiB,170 MiB,122 MiB,132 MiB,58 MiB
2026-07-28 23:27:15,,26.2 MiB,252 KiB,0 B,267 MiB,,,,176 MiB,171 MiB,180 MiB,181 MiB,130 MiB,136 MiB,58.0 MiB
2026-07-28 23:27:30,,26.2 MiB,688 KiB,0 B,261 MiB,,,,199 MiB,204 MiB,200 MiB,205 MiB,130 MiB,136 MiB,58.0 MiB
2026-07-28 23:27:45,,26.2 MiB,688 KiB,992 KiB,249 MiB,,,,218 MiB,168 MiB,208 MiB,170 MiB,135 MiB,142 MiB,58.0 MiB
2026-07-28 23:28:00,,26.3 MiB,888 KiB,992 KiB,211 MiB,,,,218 MiB,187 MiB,184 MiB,190 MiB,94.5 MiB,109 MiB,58.1 MiB
2026-07-28 23:28:15,,26.3 MiB,888 KiB,992 KiB,211 MiB,,,,199 MiB,203 MiB,203 MiB,207 MiB,103 MiB,118 MiB,58.1 MiB
2026-07-28 23:28:30,,26.3 MiB,888 KiB,992 KiB,211 MiB,,,,219 MiB,170 MiB,203 MiB,221 MiB,114 MiB,129 MiB,58.1 MiB
2026-07-28 23:28:45,,26.3 MiB,952 KiB,1.03 MiB,211 MiB,,,,176 MiB,170 MiB,173 MiB,189 MiB,133 MiB,129 MiB,58.1 MiB
2026-07-28 23:29:00,,26.3 MiB,952 KiB,1.03 MiB,211 MiB,,,,199 MiB,193 MiB,195 MiB,205 MiB,143 MiB,141 MiB,58.1 MiB
2026-07-28 23:29:15,,26.3 MiB,1016 KiB,1.03 MiB,211 MiB,,,,221 MiB,212 MiB,216 MiB,227 MiB,151 MiB,151 MiB,58.1 MiB
2026-07-28 23:29:30,,26.3 MiB,1016 KiB,1.03 MiB,201 MiB,,,,232 MiB,231 MiB,227 MiB,233 MiB,151 MiB,154 MiB,58.2 MiB
2026-07-28 23:29:45,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,240 MiB,244 MiB,236 MiB,233 MiB,149 MiB,157 MiB,58.2 MiB
2026-07-28 23:30:00,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,252 MiB,267 MiB,251 MiB,250 MiB,151 MiB,162 MiB,58.2 MiB
2026-07-28 23:30:15,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,258 MiB,211 MiB,254 MiB,250 MiB,148 MiB,159 MiB,58.2 MiB
2026-07-28 23:30:30,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,226 MiB,228 MiB,254 MiB,221 MiB,148 MiB,165 MiB,58.2 MiB
2026-07-28 23:30:45,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,234 MiB,239 MiB,225 MiB,226 MiB,159 MiB,167 MiB,58.2 MiB
2026-07-28 23:31:00,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,234 MiB,241 MiB,225 MiB,226 MiB,157 MiB,154 MiB,58.3 MiB
2026-07-28 23:31:15,,26.3 MiB,1016 KiB,1.03 MiB,196 MiB,,,,242 MiB,244 MiB,245 MiB,244 MiB,142 MiB,154 MiB,58.3 MiB
