"Time","cadvisor","charming_mirzakhani","charming_williams","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 06:34:15,20.1 MiB,,,8.67 MiB,8.46 MiB,99.4 MiB,194 MiB,185 MiB,178 MiB,178 MiB,306 MiB,294 MiB,97.4 MiB
2026-07-29 06:34:30,16.2 MiB,,,8.67 MiB,8.46 MiB,99.2 MiB,195 MiB,190 MiB,179 MiB,179 MiB,306 MiB,294 MiB,96.1 MiB
2026-07-29 06:34:45,17.6 MiB,,128 KiB,8.67 MiB,8.46 MiB,99.2 MiB,195 MiB,198 MiB,179 MiB,194 MiB,398 MiB,325 MiB,106 MiB
2026-07-29 06:35:00,17.3 MiB,1.25 MiB,128 KiB,8.67 MiB,8.46 MiB,99.1 MiB,214 MiB,198 MiB,195 MiB,194 MiB,398 MiB,325 MiB,109 MiB
2026-07-29 06:35:15,17.3 MiB,1.25 MiB,128 KiB,8.67 MiB,8.46 MiB,99.1 MiB,216 MiB,198 MiB,195 MiB,194 MiB,452 MiB,436 MiB,108 MiB
2026-07-29 06:35:30,17.9 MiB,1.25 MiB,128 KiB,10.5 MiB,9.89 MiB,99.1 MiB,217 MiB,198 MiB,195 MiB,195 MiB,456 MiB,437 MiB,96.4 MiB
2026-07-29 06:35:45,19.4 MiB,1.25 MiB,128 KiB,10.5 MiB,12.1 MiB,99.1 MiB,226 MiB,198 MiB,195 MiB,195 MiB,409 MiB,437 MiB,98.8 MiB
2026-07-29 06:36:00,17.3 MiB,1.25 MiB,128 KiB,16.4 MiB,15.8 MiB,99.1 MiB,246 MiB,223 MiB,221 MiB,219 MiB,412 MiB,401 MiB,103 MiB
2026-07-29 06:36:15,19.8 MiB,1.25 MiB,128 KiB,15.9 MiB,16.2 MiB,99.1 MiB,251 MiB,223 MiB,227 MiB,223 MiB,412 MiB,404 MiB,109 MiB
2026-07-29 06:36:30,17.5 MiB,1.25 MiB,128 KiB,16.3 MiB,15.8 MiB,99.1 MiB,251 MiB,235 MiB,237 MiB,232 MiB,426 MiB,411 MiB,109 MiB
