"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","heuristic_jennings","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 00:06:45,23.0 MiB,8.37 MiB,8.44 MiB,117 MiB,,192 MiB,177 MiB,181 MiB,176 MiB,310 MiB,304 MiB,102 MiB
2026-07-29 00:07:00,21.3 MiB,8.12 MiB,8.59 MiB,117 MiB,,192 MiB,177 MiB,181 MiB,176 MiB,322 MiB,304 MiB,102 MiB
2026-07-29 00:07:15,21.3 MiB,8.12 MiB,8.59 MiB,117 MiB,900 KiB,193 MiB,194 MiB,198 MiB,178 MiB,413 MiB,332 MiB,102 MiB
2026-07-29 00:07:30,19.6 MiB,8.12 MiB,8.59 MiB,117 MiB,900 KiB,212 MiB,194 MiB,198 MiB,193 MiB,466 MiB,397 MiB,103 MiB
2026-07-29 00:07:45,19.2 MiB,8.12 MiB,8.59 MiB,117 MiB,900 KiB,213 MiB,194 MiB,198 MiB,193 MiB,466 MiB,445 MiB,107 MiB
2026-07-29 00:08:00,18.8 MiB,10.3 MiB,11.6 MiB,117 MiB,900 KiB,213 MiB,194 MiB,198 MiB,193 MiB,466 MiB,445 MiB,107 MiB
2026-07-29 00:08:15,18.8 MiB,12.1 MiB,12.3 MiB,117 MiB,900 KiB,213 MiB,194 MiB,199 MiB,193 MiB,467 MiB,445 MiB,107 MiB
2026-07-29 00:08:30,19.5 MiB,16.0 MiB,16.6 MiB,117 MiB,900 KiB,240 MiB,195 MiB,222 MiB,221 MiB,421 MiB,410 MiB,107 MiB
2026-07-29 00:08:45,19.5 MiB,15.7 MiB,16.2 MiB,117 MiB,900 KiB,246 MiB,222 MiB,224 MiB,224 MiB,421 MiB,414 MiB,107 MiB
2026-07-29 00:09:00,20.2 MiB,15.7 MiB,15.8 MiB,116 MiB,900 KiB,258 MiB,232 MiB,237 MiB,232 MiB,437 MiB,418 MiB,98.4 MiB
