"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 00:55:15,0.687%,24.4%,23.6%,0.562%,22.6%,17.3%,13.9%,14.0%,130%,88.6%,0.199%
2026-07-29 00:55:30,0.694%,22.8%,22.8%,0.591%,21.3%,16.2%,13.0%,13.3%,123%,83.6%,0.203%
2026-07-29 00:55:45,0.727%,21.5%,20.7%,0.564%,19.3%,15.4%,11.9%,12.6%,117%,76.0%,0.220%
2026-07-29 00:56:00,0.741%,20.2%,20.3%,0.594%,19.1%,14.7%,11.6%,11.9%,111%,75.1%,0.216%
2026-07-29 00:56:15,0.735%,19.2%,19.0%,0.584%,18.0%,13.8%,11.0%,11.1%,105%,71.3%,0.219%
2026-07-29 00:56:30,0.740%,17.9%,18.0%,0.701%,17.0%,12.9%,10.3%,10.4%,98.8%,67.2%,0.223%
2026-07-29 00:56:45,0.740%,16.7%,16.7%,0.717%,15.9%,12.1%,9.64%,9.64%,92.3%,62.8%,0.213%
2026-07-29 00:57:00,0.767%,15.9%,14.5%,0.737%,15.0%,11.5%,8.93%,9.11%,85.9%,60.0%,0.213%
2026-07-29 00:57:15,0.747%,14.8%,14.7%,0.737%,14.0%,10.6%,8.49%,8.48%,82.3%,56.6%,0.216%
2026-07-29 00:57:30,0.758%,14.0%,14.2%,0.743%,13.2%,10.0%,8.00%,7.99%,78.0%,53.3%,0.226%
2026-07-29 00:57:45,0.767%,13.3%,13.2%,0.752%,12.5%,9.41%,7.49%,7.52%,73.7%,49.6%,0.214%
2026-07-29 00:58:00,0.828%,12.1%,11.6%,0.778%,11.8%,8.63%,7.00%,7.06%,69.9%,46.8%,0.229%
2026-07-29 00:58:15,0.814%,11.5%,11.6%,0.791%,10.6%,8.26%,6.47%,6.53%,65.7%,42.5%,0.227%
2026-07-29 00:58:30,0.849%,10.7%,10.4%,0.822%,10.2%,7.60%,5.97%,6.07%,60.8%,40.1%,0.207%
2026-07-29 00:58:45,0.865%,9.85%,9.93%,0.846%,9.30%,6.96%,5.40%,5.54%,57.0%,37.0%,0.215%
2026-07-29 00:59:00,0.876%,8.58%,8.94%,0.843%,8.49%,6.15%,4.92%,5.03%,53.0%,29.3%,0.218%
2026-07-29 00:59:15,0.829%,8.13%,7.77%,0.843%,7.74%,5.55%,4.39%,3.59%,46.5%,29.5%,0.220%
2026-07-29 00:59:30,0.867%,7.28%,7.01%,0.853%,6.90%,3.88%,3.74%,3.73%,44.7%,26.0%,0.233%
2026-07-29 00:59:45,0.892%,4.36%,6.41%,0.856%,6.22%,4.01%,2.27%,2.65%,24.8%,23.0%,0.234%
2026-07-29 01:00:00,0.914%,4.67%,4.68%,0.835%,4.06%,2.88%,2.48%,2.87%,26.8%,15.8%,0.236%
