"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","romantic_blackwell"
2026-07-29 00:55:15,19.6 MiB,8.89 MiB,8.27 MiB,116 MiB,190 MiB,182 MiB,180 MiB,186 MiB,303 MiB,304 MiB,104 MiB,
2026-07-29 00:55:30,21.7 MiB,8.89 MiB,8.27 MiB,116 MiB,198 MiB,189 MiB,187 MiB,194 MiB,309 MiB,311 MiB,106 MiB,
2026-07-29 00:55:45,19.7 MiB,8.89 MiB,8.27 MiB,116 MiB,206 MiB,199 MiB,196 MiB,198 MiB,309 MiB,332 MiB,116 MiB,
2026-07-29 00:56:00,19.8 MiB,8.89 MiB,8.27 MiB,116 MiB,206 MiB,199 MiB,196 MiB,198 MiB,410 MiB,395 MiB,102 MiB,1.16 MiB
2026-07-29 00:56:15,21.1 MiB,8.89 MiB,8.27 MiB,116 MiB,209 MiB,199 MiB,196 MiB,199 MiB,412 MiB,445 MiB,102 MiB,1.16 MiB
2026-07-29 00:56:30,20.5 MiB,10.6 MiB,9.75 MiB,116 MiB,210 MiB,199 MiB,197 MiB,199 MiB,412 MiB,445 MiB,102 MiB,1.16 MiB
2026-07-29 00:56:45,20.0 MiB,12.6 MiB,11.9 MiB,116 MiB,210 MiB,199 MiB,197 MiB,199 MiB,425 MiB,445 MiB,104 MiB,1.16 MiB
2026-07-29 00:57:00,20.0 MiB,16.7 MiB,15.6 MiB,116 MiB,234 MiB,222 MiB,197 MiB,222 MiB,425 MiB,413 MiB,104 MiB,1.16 MiB
2026-07-29 00:57:15,21.5 MiB,16.7 MiB,15.9 MiB,116 MiB,239 MiB,222 MiB,222 MiB,227 MiB,402 MiB,415 MiB,106 MiB,1.16 MiB
2026-07-29 00:57:30,22.0 MiB,17.0 MiB,15.4 MiB,116 MiB,252 MiB,235 MiB,236 MiB,235 MiB,414 MiB,424 MiB,113 MiB,1.16 MiB
2026-07-29 00:57:45,19.6 MiB,16.5 MiB,15.8 MiB,116 MiB,261 MiB,245 MiB,241 MiB,248 MiB,423 MiB,428 MiB,113 MiB,1.16 MiB
2026-07-29 00:58:00,21.8 MiB,16.5 MiB,15.4 MiB,116 MiB,273 MiB,245 MiB,258 MiB,261 MiB,432 MiB,439 MiB,113 MiB,1.16 MiB
2026-07-29 00:58:15,20.5 MiB,16.3 MiB,15.7 MiB,116 MiB,273 MiB,273 MiB,266 MiB,274 MiB,442 MiB,439 MiB,115 MiB,1.16 MiB
2026-07-29 00:58:30,23.9 MiB,16.6 MiB,15.7 MiB,117 MiB,296 MiB,267 MiB,277 MiB,269 MiB,442 MiB,446 MiB,121 MiB,1.16 MiB
2026-07-29 00:58:45,20.6 MiB,16.2 MiB,16.0 MiB,117 MiB,284 MiB,268 MiB,277 MiB,269 MiB,448 MiB,460 MiB,121 MiB,1.16 MiB
2026-07-29 00:59:00,20.4 MiB,16.2 MiB,15.5 MiB,117 MiB,291 MiB,278 MiB,277 MiB,277 MiB,458 MiB,460 MiB,121 MiB,1.16 MiB
2026-07-29 00:59:15,20.4 MiB,16.2 MiB,15.5 MiB,117 MiB,299 MiB,287 MiB,287 MiB,277 MiB,458 MiB,468 MiB,121 MiB,1.16 MiB
2026-07-29 00:59:30,16.8 MiB,16.0 MiB,15.6 MiB,117 MiB,317 MiB,299 MiB,287 MiB,291 MiB,467 MiB,477 MiB,121 MiB,1.16 MiB
2026-07-29 00:59:45,21.3 MiB,16.3 MiB,15.8 MiB,117 MiB,326 MiB,303 MiB,300 MiB,300 MiB,475 MiB,482 MiB,121 MiB,1.16 MiB
2026-07-29 01:00:00,22.8 MiB,16.3 MiB,15.7 MiB,116 MiB,326 MiB,314 MiB,313 MiB,117 MiB,481 MiB,491 MiB,121 MiB,1.16 MiB
2026-07-29 01:00:15,21.7 MiB,8.02 MiB,7.45 MiB,116 MiB,133 MiB,133 MiB,133 MiB,117 MiB,195 MiB,187 MiB,121 MiB,1.16 MiB
2026-07-29 01:00:30,21.7 MiB,7.87 MiB,7.54 MiB,116 MiB,141 MiB,133 MiB,133 MiB,118 MiB,195 MiB,198 MiB,121 MiB,1.16 MiB
2026-07-29 01:00:45,19.9 MiB,7.66 MiB,7.54 MiB,116 MiB,155 MiB,133 MiB,138 MiB,130 MiB,200 MiB,209 MiB,121 MiB,1.16 MiB
2026-07-29 01:01:00,20.6 MiB,7.66 MiB,7.38 MiB,116 MiB,164 MiB,133 MiB,138 MiB,147 MiB,209 MiB,220 MiB,121 MiB,
2026-07-29 01:01:15,20.4 MiB,7.79 MiB,7.49 MiB,116 MiB,164 MiB,148 MiB,147 MiB,148 MiB,222 MiB,222 MiB,121 MiB,
2026-07-29 01:01:30,21.6 MiB,7.29 MiB,7.18 MiB,116 MiB,166 MiB,163 MiB,168 MiB,151 MiB,222 MiB,230 MiB,109 MiB,
2026-07-29 01:01:45,23.1 MiB,7.29 MiB,7.32 MiB,116 MiB,171 MiB,163 MiB,168 MiB,151 MiB,222 MiB,231 MiB,115 MiB,
2026-07-29 01:02:00,22.6 MiB,7.47 MiB,7.22 MiB,116 MiB,171 MiB,166 MiB,168 MiB,151 MiB,228 MiB,232 MiB,117 MiB,
2026-07-29 01:02:15,22.6 MiB,7.89 MiB,7.61 MiB,116 MiB,171 MiB,167 MiB,169 MiB,154 MiB,230 MiB,232 MiB,117 MiB,
2026-07-29 01:02:30,23.5 MiB,7.63 MiB,7.85 MiB,116 MiB,170 MiB,168 MiB,167 MiB,160 MiB,230 MiB,234 MiB,117 MiB,
2026-07-29 01:02:45,22.3 MiB,7.63 MiB,7.85 MiB,116 MiB,172 MiB,160 MiB,165 MiB,159 MiB,237 MiB,241 MiB,117 MiB,
2026-07-29 01:03:00,23.5 MiB,7.98 MiB,7.57 MiB,116 MiB,177 MiB,164 MiB,165 MiB,164 MiB,237 MiB,242 MiB,123 MiB,
2026-07-29 01:03:15,21.9 MiB,8.38 MiB,8.48 MiB,116 MiB,180 MiB,170 MiB,169 MiB,164 MiB,237 MiB,249 MiB,123 MiB,
