"Time","cadvisor","charming_taussig","clever_vaughan","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 01:43:30,17.0 MiB,,,8.44 MiB,8.50 MiB,99.4 MiB,196 MiB,186 MiB,183 MiB,184 MiB,316 MiB,300 MiB,92.3 MiB
2026-07-29 01:43:45,17.9 MiB,,,8.24 MiB,8.50 MiB,99.3 MiB,196 MiB,186 MiB,183 MiB,184 MiB,316 MiB,300 MiB,92.3 MiB
2026-07-29 01:44:00,17.9 MiB,,,8.24 MiB,8.50 MiB,99.3 MiB,198 MiB,194 MiB,186 MiB,187 MiB,316 MiB,307 MiB,92.6 MiB
2026-07-29 01:44:15,14.5 MiB,,164 KiB,8.24 MiB,8.50 MiB,99.3 MiB,215 MiB,203 MiB,199 MiB,201 MiB,405 MiB,307 MiB,92.6 MiB
2026-07-29 01:44:30,14.5 MiB,1.17 MiB,164 KiB,8.24 MiB,8.50 MiB,99.3 MiB,217 MiB,203 MiB,199 MiB,201 MiB,428 MiB,388 MiB,97.4 MiB
2026-07-29 01:44:45,17.8 MiB,1.17 MiB,164 KiB,8.24 MiB,8.50 MiB,99.3 MiB,219 MiB,203 MiB,199 MiB,202 MiB,431 MiB,409 MiB,103 MiB
2026-07-29 01:45:00,16.7 MiB,1.17 MiB,164 KiB,12.0 MiB,10.8 MiB,99.3 MiB,219 MiB,203 MiB,199 MiB,202 MiB,431 MiB,424 MiB,111 MiB
2026-07-29 01:45:15,17.3 MiB,1.17 MiB,164 KiB,13.8 MiB,13.3 MiB,99.3 MiB,240 MiB,203 MiB,212 MiB,202 MiB,440 MiB,425 MiB,111 MiB
2026-07-29 01:45:30,17.1 MiB,1.17 MiB,164 KiB,15.3 MiB,15.8 MiB,99.2 MiB,250 MiB,228 MiB,226 MiB,224 MiB,421 MiB,402 MiB,111 MiB
2026-07-29 01:45:45,17.4 MiB,1.17 MiB,164 KiB,15.7 MiB,15.8 MiB,99.2 MiB,250 MiB,233 MiB,232 MiB,230 MiB,430 MiB,403 MiB,112 MiB
2026-07-29 01:46:00,18.1 MiB,1.17 MiB,164 KiB,16.1 MiB,15.7 MiB,99.2 MiB,263 MiB,242 MiB,242 MiB,242 MiB,430 MiB,408 MiB,112 MiB
2026-07-29 01:46:15,17.1 MiB,1.17 MiB,164 KiB,16.0 MiB,15.7 MiB,99.2 MiB,267 MiB,242 MiB,255 MiB,242 MiB,439 MiB,417 MiB,112 MiB
