"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","youthful_cray","zen_agnesi"
2026-07-29 02:32:00,18.8 MiB,8.75 MiB,8.87 MiB,99.8 MiB,193 MiB,179 MiB,180 MiB,184 MiB,320 MiB,296 MiB,96.3 MiB,,
2026-07-29 02:32:15,18.8 MiB,8.75 MiB,8.79 MiB,99.8 MiB,193 MiB,179 MiB,180 MiB,184 MiB,320 MiB,296 MiB,96.3 MiB,,
2026-07-29 02:32:30,15.1 MiB,8.75 MiB,8.79 MiB,99.8 MiB,199 MiB,180 MiB,184 MiB,200 MiB,349 MiB,303 MiB,98.4 MiB,,
2026-07-29 02:32:45,17.8 MiB,8.75 MiB,8.79 MiB,99.8 MiB,214 MiB,180 MiB,193 MiB,200 MiB,349 MiB,325 MiB,101 MiB,1.17 MiB,136 KiB
2026-07-29 02:33:00,18.3 MiB,8.75 MiB,8.79 MiB,99.8 MiB,214 MiB,196 MiB,193 MiB,201 MiB,466 MiB,438 MiB,105 MiB,1.17 MiB,136 KiB
2026-07-29 02:33:15,17.6 MiB,12.0 MiB,11.0 MiB,99.8 MiB,215 MiB,196 MiB,193 MiB,201 MiB,466 MiB,438 MiB,105 MiB,1.17 MiB,136 KiB
2026-07-29 02:33:30,17.7 MiB,12.0 MiB,11.0 MiB,99.7 MiB,216 MiB,196 MiB,193 MiB,201 MiB,466 MiB,438 MiB,107 MiB,1.17 MiB,136 KiB
2026-07-29 02:33:45,20.6 MiB,12.7 MiB,16.2 MiB,99.7 MiB,241 MiB,215 MiB,220 MiB,217 MiB,466 MiB,400 MiB,121 MiB,1.17 MiB,136 KiB
2026-07-29 02:34:00,18.5 MiB,12.7 MiB,15.9 MiB,99.7 MiB,249 MiB,221 MiB,220 MiB,217 MiB,427 MiB,402 MiB,121 MiB,1.17 MiB,136 KiB
2026-07-29 02:34:15,18.1 MiB,16.1 MiB,16.2 MiB,99.7 MiB,249 MiB,221 MiB,224 MiB,233 MiB,433 MiB,402 MiB,122 MiB,1.17 MiB,136 KiB
2026-07-29 02:34:30,18.1 MiB,16.4 MiB,16.3 MiB,99.8 MiB,268 MiB,246 MiB,241 MiB,233 MiB,439 MiB,417 MiB,122 MiB,1.17 MiB,136 KiB
2026-07-29 02:34:45,19.1 MiB,16.4 MiB,16.1 MiB,99.8 MiB,277 MiB,246 MiB,241 MiB,251 MiB,445 MiB,417 MiB,123 MiB,1.17 MiB,136 KiB
2026-07-29 02:35:00,18.3 MiB,15.9 MiB,16.0 MiB,99.8 MiB,291 MiB,260 MiB,257 MiB,251 MiB,445 MiB,426 MiB,123 MiB,1.17 MiB,136 KiB
2026-07-29 02:35:15,20.7 MiB,15.9 MiB,16.8 MiB,99.8 MiB,291 MiB,285 MiB,265 MiB,278 MiB,457 MiB,426 MiB,123 MiB,1.17 MiB,136 KiB
2026-07-29 02:35:30,20.7 MiB,16.0 MiB,16.4 MiB,99.8 MiB,283 MiB,278 MiB,277 MiB,277 MiB,467 MiB,439 MiB,129 MiB,1.17 MiB,136 KiB
2026-07-29 02:35:45,19.1 MiB,16.0 MiB,16.4 MiB,99.8 MiB,292 MiB,278 MiB,275 MiB,275 MiB,471 MiB,450 MiB,135 MiB,1.17 MiB,136 KiB
2026-07-29 02:36:00,20.5 MiB,16.2 MiB,16.3 MiB,99.8 MiB,306 MiB,278 MiB,275 MiB,285 MiB,481 MiB,450 MiB,135 MiB,1.17 MiB,136 KiB
2026-07-29 02:36:15,20.5 MiB,16.2 MiB,16.2 MiB,99.8 MiB,320 MiB,281 MiB,291 MiB,285 MiB,489 MiB,463 MiB,135 MiB,1.17 MiB,136 KiB
2026-07-29 02:36:30,20.0 MiB,16.3 MiB,16.4 MiB,100 MiB,340 MiB,305 MiB,291 MiB,313 MiB,502 MiB,468 MiB,135 MiB,1.17 MiB,136 KiB
2026-07-29 02:36:45,19.0 MiB,16.3 MiB,16.5 MiB,100 MiB,328 MiB,305 MiB,305 MiB,313 MiB,508 MiB,475 MiB,135 MiB,1.17 MiB,136 KiB
2026-07-29 02:37:00,19.0 MiB,7.32 MiB,16.2 MiB,100 MiB,137 MiB,128 MiB,125 MiB,130 MiB,194 MiB,194 MiB,135 MiB,1.17 MiB,136 KiB
2026-07-29 02:37:15,18.0 MiB,7.57 MiB,7.32 MiB,100 MiB,143 MiB,128 MiB,126 MiB,130 MiB,204 MiB,197 MiB,135 MiB,1.17 MiB,136 KiB
