"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_hertz"
2026-07-29 03:20:30,18.1 MiB,8.50 MiB,8.26 MiB,99.4 MiB,191 MiB,179 MiB,173 MiB,181 MiB,297 MiB,306 MiB,118 MiB,
2026-07-29 03:20:45,17.7 MiB,8.50 MiB,9.26 MiB,99.4 MiB,191 MiB,180 MiB,190 MiB,187 MiB,313 MiB,309 MiB,118 MiB,
2026-07-29 03:21:00,16.9 MiB,8.50 MiB,9.26 MiB,99.4 MiB,210 MiB,196 MiB,190 MiB,187 MiB,313 MiB,309 MiB,119 MiB,312 KiB
2026-07-29 03:21:15,16.9 MiB,8.50 MiB,9.26 MiB,99.4 MiB,210 MiB,196 MiB,201 MiB,197 MiB,402 MiB,334 MiB,120 MiB,312 KiB
2026-07-29 03:21:30,19.4 MiB,8.50 MiB,9.26 MiB,99.0 MiB,213 MiB,196 MiB,201 MiB,197 MiB,450 MiB,447 MiB,120 MiB,312 KiB
2026-07-29 03:21:45,17.9 MiB,8.50 MiB,9.26 MiB,99.0 MiB,213 MiB,197 MiB,202 MiB,197 MiB,451 MiB,447 MiB,120 MiB,312 KiB
2026-07-29 03:22:00,17.7 MiB,12.2 MiB,13.1 MiB,99.0 MiB,214 MiB,197 MiB,202 MiB,197 MiB,451 MiB,447 MiB,120 MiB,312 KiB
2026-07-29 03:22:15,20.7 MiB,16.3 MiB,17.0 MiB,99.0 MiB,247 MiB,221 MiB,202 MiB,197 MiB,418 MiB,447 MiB,128 MiB,312 KiB
2026-07-29 03:22:30,20.7 MiB,16.8 MiB,17.6 MiB,99.0 MiB,251 MiB,230 MiB,227 MiB,225 MiB,418 MiB,419 MiB,129 MiB,312 KiB
2026-07-29 03:22:45,18.0 MiB,16.8 MiB,16.7 MiB,99.0 MiB,259 MiB,235 MiB,238 MiB,233 MiB,432 MiB,420 MiB,129 MiB,312 KiB
2026-07-29 03:23:00,21.2 MiB,16.0 MiB,16.5 MiB,99.0 MiB,259 MiB,246 MiB,247 MiB,247 MiB,435 MiB,420 MiB,129 MiB,312 KiB
2026-07-29 03:23:15,18.8 MiB,16.3 MiB,16.8 MiB,99.0 MiB,274 MiB,257 MiB,260 MiB,247 MiB,438 MiB,440 MiB,129 MiB,312 KiB
2026-07-29 03:23:30,18.8 MiB,16.2 MiB,17.0 MiB,99.0 MiB,282 MiB,269 MiB,269 MiB,267 MiB,451 MiB,443 MiB,129 MiB,312 KiB
2026-07-29 03:23:45,18.2 MiB,15.9 MiB,16.7 MiB,99.0 MiB,277 MiB,269 MiB,279 MiB,267 MiB,452 MiB,454 MiB,129 MiB,312 KiB
2026-07-29 03:24:00,18.2 MiB,16.1 MiB,17.1 MiB,99.0 MiB,277 MiB,262 MiB,279 MiB,268 MiB,459 MiB,456 MiB,129 MiB,312 KiB
2026-07-29 03:24:15,18.1 MiB,16.0 MiB,16.6 MiB,99.0 MiB,292 MiB,268 MiB,271 MiB,268 MiB,468 MiB,466 MiB,129 MiB,312 KiB
2026-07-29 03:24:30,17.7 MiB,16.0 MiB,16.8 MiB,99.0 MiB,306 MiB,271 MiB,275 MiB,273 MiB,478 MiB,466 MiB,129 MiB,312 KiB
2026-07-29 03:24:45,17.7 MiB,16.1 MiB,16.8 MiB,99.0 MiB,315 MiB,283 MiB,299 MiB,288 MiB,489 MiB,478 MiB,112 MiB,312 KiB
2026-07-29 03:25:00,18.7 MiB,16.3 MiB,16.7 MiB,99.0 MiB,326 MiB,283 MiB,299 MiB,305 MiB,494 MiB,478 MiB,112 MiB,312 KiB
2026-07-29 03:25:15,18.3 MiB,15.9 MiB,16.7 MiB,99.0 MiB,330 MiB,311 MiB,317 MiB,307 MiB,494 MiB,496 MiB,112 MiB,312 KiB
2026-07-29 03:25:30,17.8 MiB,7.72 MiB,16.8 MiB,99.1 MiB,140 MiB,311 MiB,317 MiB,307 MiB,511 MiB,190 MiB,113 MiB,312 KiB
2026-07-29 03:25:45,17.8 MiB,7.63 MiB,7.09 MiB,99.1 MiB,140 MiB,132 MiB,134 MiB,123 MiB,201 MiB,198 MiB,113 MiB,312 KiB
2026-07-29 03:26:00,18.7 MiB,7.50 MiB,7.64 MiB,99.1 MiB,147 MiB,136 MiB,137 MiB,137 MiB,208 MiB,201 MiB,120 MiB,
2026-07-29 03:26:15,18.1 MiB,7.71 MiB,7.64 MiB,99.0 MiB,160 MiB,148 MiB,138 MiB,137 MiB,214 MiB,212 MiB,120 MiB,
2026-07-29 03:26:30,17.9 MiB,7.45 MiB,7.41 MiB,99.2 MiB,169 MiB,148 MiB,160 MiB,151 MiB,220 MiB,222 MiB,121 MiB,
2026-07-29 03:26:45,17.9 MiB,7.45 MiB,7.30 MiB,99.2 MiB,169 MiB,157 MiB,160 MiB,156 MiB,227 MiB,232 MiB,121 MiB,
2026-07-29 03:27:00,18.1 MiB,7.66 MiB,7.17 MiB,99.2 MiB,169 MiB,158 MiB,160 MiB,156 MiB,228 MiB,232 MiB,121 MiB,
