"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","inspiring_mirzakhani","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 04:09:00,17.7 MiB,7.90 MiB,8.87 MiB,98.5 MiB,,183 MiB,180 MiB,175 MiB,181 MiB,313 MiB,302 MiB,91.8 MiB
2026-07-29 04:09:15,14.8 MiB,7.90 MiB,8.87 MiB,98.5 MiB,,184 MiB,187 MiB,177 MiB,188 MiB,320 MiB,309 MiB,92.3 MiB
2026-07-29 04:09:30,16.6 MiB,7.90 MiB,8.87 MiB,98.5 MiB,,200 MiB,193 MiB,192 MiB,198 MiB,338 MiB,331 MiB,92.3 MiB
2026-07-29 04:09:45,17.4 MiB,7.90 MiB,8.87 MiB,98.5 MiB,1.16 MiB,200 MiB,193 MiB,192 MiB,198 MiB,338 MiB,395 MiB,100 MiB
2026-07-29 04:10:00,20.1 MiB,7.90 MiB,8.87 MiB,98.5 MiB,1.16 MiB,201 MiB,193 MiB,192 MiB,198 MiB,443 MiB,443 MiB,103 MiB
2026-07-29 04:10:15,18.2 MiB,8.60 MiB,10.5 MiB,98.5 MiB,1.16 MiB,201 MiB,193 MiB,192 MiB,198 MiB,443 MiB,443 MiB,106 MiB
2026-07-29 04:10:30,19.6 MiB,11.8 MiB,10.5 MiB,98.5 MiB,1.16 MiB,203 MiB,193 MiB,193 MiB,198 MiB,459 MiB,443 MiB,106 MiB
2026-07-29 04:10:45,20.6 MiB,15.8 MiB,16.3 MiB,98.5 MiB,1.16 MiB,228 MiB,218 MiB,213 MiB,220 MiB,418 MiB,410 MiB,106 MiB
2026-07-29 04:11:00,17.0 MiB,15.8 MiB,16.0 MiB,98.5 MiB,1.16 MiB,228 MiB,222 MiB,213 MiB,220 MiB,421 MiB,410 MiB,108 MiB
2026-07-29 04:11:15,18.1 MiB,15.5 MiB,16.5 MiB,98.5 MiB,1.16 MiB,245 MiB,231 MiB,230 MiB,233 MiB,421 MiB,417 MiB,108 MiB
2026-07-29 04:11:30,16.6 MiB,15.5 MiB,16.1 MiB,98.5 MiB,1.16 MiB,261 MiB,242 MiB,241 MiB,245 MiB,435 MiB,421 MiB,109 MiB
2026-07-29 04:11:45,17.7 MiB,15.3 MiB,16.1 MiB,98.5 MiB,1.16 MiB,261 MiB,242 MiB,258 MiB,245 MiB,439 MiB,432 MiB,109 MiB
2026-07-29 04:12:00,21.5 MiB,15.6 MiB,16.2 MiB,98.5 MiB,1.16 MiB,274 MiB,260 MiB,265 MiB,267 MiB,444 MiB,432 MiB,113 MiB
2026-07-29 04:12:15,18.2 MiB,15.2 MiB,16.6 MiB,98.5 MiB,1.16 MiB,279 MiB,265 MiB,273 MiB,281 MiB,451 MiB,444 MiB,113 MiB
2026-07-29 04:12:30,20.4 MiB,15.2 MiB,16.8 MiB,98.6 MiB,1.16 MiB,281 MiB,267 MiB,271 MiB,273 MiB,465 MiB,444 MiB,113 MiB
2026-07-29 04:12:45,19.5 MiB,15.3 MiB,16.5 MiB,98.6 MiB,1.16 MiB,288 MiB,267 MiB,271 MiB,273 MiB,468 MiB,456 MiB,121 MiB
2026-07-29 04:13:00,21.1 MiB,15.3 MiB,16.5 MiB,98.6 MiB,1.16 MiB,303 MiB,276 MiB,283 MiB,282 MiB,475 MiB,464 MiB,121 MiB
2026-07-29 04:13:15,21.1 MiB,15.3 MiB,16.0 MiB,98.6 MiB,1.16 MiB,312 MiB,288 MiB,296 MiB,295 MiB,482 MiB,473 MiB,121 MiB
2026-07-29 04:13:30,20.0 MiB,15.3 MiB,16.3 MiB,98.6 MiB,1.16 MiB,312 MiB,304 MiB,300 MiB,314 MiB,489 MiB,483 MiB,121 MiB
2026-07-29 04:13:45,22.5 MiB,7.42 MiB,7.54 MiB,98.6 MiB,1.16 MiB,147 MiB,123 MiB,300 MiB,314 MiB,502 MiB,184 MiB,128 MiB
2026-07-29 04:14:00,20.9 MiB,7.94 MiB,7.36 MiB,98.6 MiB,1.16 MiB,137 MiB,123 MiB,138 MiB,134 MiB,189 MiB,195 MiB,128 MiB
2026-07-29 04:14:15,20.9 MiB,7.34 MiB,7.36 MiB,98.6 MiB,1.16 MiB,152 MiB,130 MiB,139 MiB,134 MiB,197 MiB,195 MiB,128 MiB
2026-07-29 04:14:30,15.0 MiB,7.36 MiB,7.48 MiB,98.6 MiB,1.16 MiB,155 MiB,142 MiB,139 MiB,144 MiB,197 MiB,204 MiB,101 MiB
2026-07-29 04:14:45,18.1 MiB,7.65 MiB,7.29 MiB,98.6 MiB,,160 MiB,142 MiB,151 MiB,161 MiB,211 MiB,216 MiB,101 MiB
