"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","distracted_kare","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sweet_jang"
2026-07-29 04:57:15,17.5 MiB,8.38 MiB,8.82 MiB,,99.3 MiB,187 MiB,171 MiB,173 MiB,180 MiB,302 MiB,303 MiB,93.7 MiB,
2026-07-29 04:57:30,18.4 MiB,9.52 MiB,8.82 MiB,,99.3 MiB,187 MiB,179 MiB,178 MiB,180 MiB,302 MiB,303 MiB,93.7 MiB,
2026-07-29 04:57:45,18.4 MiB,9.52 MiB,8.82 MiB,,99.3 MiB,189 MiB,181 MiB,183 MiB,182 MiB,310 MiB,309 MiB,100.0 MiB,
2026-07-29 04:58:00,17.4 MiB,9.52 MiB,8.82 MiB,132 KiB,99.2 MiB,203 MiB,196 MiB,194 MiB,182 MiB,394 MiB,328 MiB,103 MiB,1.17 MiB
2026-07-29 04:58:15,19.9 MiB,9.52 MiB,8.82 MiB,132 KiB,99.2 MiB,203 MiB,196 MiB,194 MiB,198 MiB,447 MiB,440 MiB,106 MiB,1.17 MiB
2026-07-29 04:58:30,17.2 MiB,10.1 MiB,11.3 MiB,132 KiB,99.2 MiB,207 MiB,196 MiB,194 MiB,198 MiB,447 MiB,440 MiB,108 MiB,1.17 MiB
2026-07-29 04:58:45,17.9 MiB,13.5 MiB,12.6 MiB,132 KiB,99.2 MiB,207 MiB,196 MiB,194 MiB,198 MiB,447 MiB,441 MiB,110 MiB,1.17 MiB
2026-07-29 04:59:00,17.9 MiB,14.9 MiB,16.0 MiB,132 KiB,99.2 MiB,232 MiB,212 MiB,194 MiB,198 MiB,447 MiB,441 MiB,110 MiB,1.17 MiB
2026-07-29 04:59:15,17.4 MiB,17.6 MiB,16.7 MiB,132 KiB,99.2 MiB,237 MiB,224 MiB,220 MiB,226 MiB,411 MiB,407 MiB,110 MiB,1.17 MiB
2026-07-29 04:59:30,17.4 MiB,17.2 MiB,17.0 MiB,132 KiB,99.2 MiB,237 MiB,230 MiB,225 MiB,228 MiB,413 MiB,407 MiB,117 MiB,1.17 MiB
2026-07-29 04:59:45,18.7 MiB,17.2 MiB,16.5 MiB,132 KiB,99.2 MiB,253 MiB,243 MiB,238 MiB,237 MiB,423 MiB,416 MiB,117 MiB,1.17 MiB
2026-07-29 05:00:00,18.6 MiB,17.6 MiB,16.5 MiB,132 KiB,99.2 MiB,261 MiB,250 MiB,252 MiB,258 MiB,431 MiB,419 MiB,117 MiB,1.17 MiB
2026-07-29 05:00:15,21.3 MiB,17.3 MiB,17.0 MiB,132 KiB,99.2 MiB,276 MiB,265 MiB,266 MiB,268 MiB,436 MiB,419 MiB,117 MiB,1.17 MiB
2026-07-29 05:00:30,17.5 MiB,17.3 MiB,16.5 MiB,132 KiB,99.2 MiB,276 MiB,265 MiB,278 MiB,279 MiB,444 MiB,437 MiB,117 MiB,1.17 MiB
2026-07-29 05:00:45,17.9 MiB,17.5 MiB,16.5 MiB,132 KiB,99.2 MiB,278 MiB,273 MiB,269 MiB,279 MiB,451 MiB,440 MiB,117 MiB,1.17 MiB
2026-07-29 05:01:00,17.9 MiB,17.0 MiB,16.4 MiB,132 KiB,99.2 MiB,283 MiB,270 MiB,269 MiB,275 MiB,458 MiB,450 MiB,117 MiB,1.17 MiB
2026-07-29 05:01:15,18.1 MiB,17.3 MiB,16.4 MiB,132 KiB,99.2 MiB,283 MiB,272 MiB,282 MiB,281 MiB,458 MiB,463 MiB,117 MiB,1.17 MiB
2026-07-29 05:01:30,18.1 MiB,17.3 MiB,16.4 MiB,132 KiB,99.2 MiB,303 MiB,292 MiB,295 MiB,281 MiB,466 MiB,465 MiB,117 MiB,1.17 MiB
2026-07-29 05:01:45,21.6 MiB,17.1 MiB,16.4 MiB,132 KiB,99.2 MiB,322 MiB,292 MiB,295 MiB,303 MiB,477 MiB,469 MiB,114 MiB,1.17 MiB
2026-07-29 05:02:00,21.6 MiB,17.3 MiB,16.6 MiB,132 KiB,99.2 MiB,335 MiB,313 MiB,309 MiB,316 MiB,485 MiB,477 MiB,114 MiB,1.17 MiB
2026-07-29 05:02:15,17.7 MiB,17.4 MiB,7.61 MiB,132 KiB,99.2 MiB,141 MiB,313 MiB,309 MiB,136 MiB,192 MiB,182 MiB,114 MiB,1.17 MiB
2026-07-29 05:02:30,17.7 MiB,7.61 MiB,7.75 MiB,132 KiB,99.2 MiB,142 MiB,134 MiB,131 MiB,136 MiB,197 MiB,193 MiB,115 MiB,1.17 MiB
2026-07-29 05:02:45,19.0 MiB,7.68 MiB,7.54 MiB,132 KiB,99.2 MiB,144 MiB,134 MiB,136 MiB,140 MiB,203 MiB,198 MiB,115 MiB,1.17 MiB
2026-07-29 05:03:00,20.0 MiB,7.63 MiB,7.38 MiB,,99.1 MiB,153 MiB,140 MiB,145 MiB,145 MiB,203 MiB,198 MiB,115 MiB,
2026-07-29 05:03:15,18.4 MiB,7.46 MiB,7.71 MiB,,99.1 MiB,167 MiB,140 MiB,159 MiB,145 MiB,217 MiB,215 MiB,115 MiB,
2026-07-29 05:03:30,17.4 MiB,7.63 MiB,7.33 MiB,,99.1 MiB,168 MiB,161 MiB,159 MiB,166 MiB,229 MiB,220 MiB,99.5 MiB,
2026-07-29 05:03:45,18.5 MiB,7.82 MiB,7.33 MiB,,99.1 MiB,168 MiB,161 MiB,159 MiB,166 MiB,230 MiB,220 MiB,99.5 MiB,
2026-07-29 05:04:00,22.9 MiB,7.60 MiB,7.26 MiB,,99.1 MiB,170 MiB,164 MiB,163 MiB,168 MiB,231 MiB,227 MiB,99.5 MiB,
2026-07-29 05:04:15,23.4 MiB,7.48 MiB,7.91 MiB,,99.1 MiB,170 MiB,164 MiB,164 MiB,168 MiB,231 MiB,227 MiB,99.5 MiB,
2026-07-29 05:04:30,22.8 MiB,7.75 MiB,7.88 MiB,,99.1 MiB,172 MiB,164 MiB,164 MiB,168 MiB,235 MiB,230 MiB,99.5 MiB,
2026-07-29 05:04:45,18.0 MiB,7.75 MiB,7.68 MiB,,99.1 MiB,180 MiB,173 MiB,167 MiB,172 MiB,235 MiB,232 MiB,99.5 MiB,
2026-07-29 05:05:00,20.4 MiB,7.76 MiB,7.70 MiB,,99.1 MiB,179 MiB,173 MiB,169 MiB,168 MiB,242 MiB,235 MiB,99.5 MiB,
2026-07-29 05:05:15,20.7 MiB,8.29 MiB,7.70 MiB,,99.1 MiB,173 MiB,168 MiB,173 MiB,167 MiB,242 MiB,236 MiB,106 MiB,
2026-07-29 05:05:30,18.9 MiB,8.25 MiB,8.89 MiB,,99.1 MiB,171 MiB,183 MiB,167 MiB,173 MiB,242 MiB,236 MiB,103 MiB,
2026-07-29 05:05:45,21.9 MiB,7.93 MiB,7.88 MiB,,99.1 MiB,174 MiB,183 MiB,169 MiB,174 MiB,240 MiB,235 MiB,103 MiB,
2026-07-29 05:06:00,18.0 MiB,7.67 MiB,7.93 MiB,,99.1 MiB,174 MiB,175 MiB,169 MiB,164 MiB,247 MiB,239 MiB,103 MiB,
2026-07-29 05:06:15,16.6 MiB,8.64 MiB,7.58 MiB,,99.1 MiB,174 MiB,177 MiB,174 MiB,166 MiB,249 MiB,242 MiB,103 MiB,
2026-07-29 05:06:30,18.6 MiB,7.57 MiB,8.30 MiB,,99.2 MiB,178 MiB,177 MiB,170 MiB,170 MiB,249 MiB,246 MiB,103 MiB,
2026-07-29 05:06:45,18.2 MiB,7.89 MiB,7.49 MiB,,99.2 MiB,180 MiB,179 MiB,171 MiB,175 MiB,252 MiB,246 MiB,110 MiB,
2026-07-29 05:07:00,18.2 MiB,8.10 MiB,7.63 MiB,,99.2 MiB,178 MiB,175 MiB,171 MiB,175 MiB,258 MiB,246 MiB,110 MiB,
2026-07-29 05:07:15,19.1 MiB,8.10 MiB,7.74 MiB,,99.2 MiB,178 MiB,168 MiB,180 MiB,175 MiB,263 MiB,247 MiB,110 MiB,
2026-07-29 05:07:30,19.2 MiB,8.34 MiB,7.43 MiB,,99.2 MiB,179 MiB,168 MiB,178 MiB,176 MiB,260 MiB,251 MiB,110 MiB,
2026-07-29 05:07:45,18.6 MiB,8.18 MiB,7.74 MiB,,99.2 MiB,172 MiB,174 MiB,172 MiB,176 MiB,261 MiB,252 MiB,110 MiB,
2026-07-29 05:08:00,21.6 MiB,7.61 MiB,8.16 MiB,,99.2 MiB,182 MiB,170 MiB,171 MiB,169 MiB,266 MiB,253 MiB,110 MiB,
2026-07-29 05:08:15,21.6 MiB,7.92 MiB,8.29 MiB,,99.2 MiB,182 MiB,171 MiB,172 MiB,169 MiB,266 MiB,251 MiB,110 MiB,
2026-07-29 05:08:30,15.4 MiB,8.17 MiB,7.49 MiB,,99.2 MiB,186 MiB,171 MiB,174 MiB,172 MiB,259 MiB,253 MiB,110 MiB,
2026-07-29 05:08:45,19.8 MiB,8.17 MiB,7.59 MiB,,99.2 MiB,174 MiB,173 MiB,172 MiB,177 MiB,263 MiB,253 MiB,110 MiB,
2026-07-29 05:09:00,21.6 MiB,8.09 MiB,8.69 MiB,,99.2 MiB,178 MiB,177 MiB,170 MiB,177 MiB,266 MiB,260 MiB,110 MiB,
2026-07-29 05:09:15,17.7 MiB,7.78 MiB,7.72 MiB,,99.2 MiB,178 MiB,178 MiB,171 MiB,171 MiB,265 MiB,260 MiB,110 MiB,
2026-07-29 05:09:30,18.6 MiB,7.70 MiB,7.83 MiB,,99.1 MiB,184 MiB,176 MiB,171 MiB,173 MiB,270 MiB,260 MiB,106 MiB,
2026-07-29 05:09:45,18.2 MiB,7.91 MiB,7.61 MiB,,99.1 MiB,181 MiB,176 MiB,175 MiB,173 MiB,268 MiB,260 MiB,106 MiB,
2026-07-29 05:10:00,18.2 MiB,8.38 MiB,7.61 MiB,,99.1 MiB,192 MiB,177 MiB,191 MiB,177 MiB,297 MiB,272 MiB,106 MiB,
2026-07-29 05:10:15,20.9 MiB,8.45 MiB,8.46 MiB,,99.1 MiB,178 MiB,184 MiB,171 MiB,177 MiB,292 MiB,269 MiB,106 MiB,
2026-07-29 05:10:30,20.9 MiB,9.42 MiB,8.70 MiB,,99.0 MiB,189 MiB,179 MiB,185 MiB,170 MiB,307 MiB,273 MiB,106 MiB,
2026-07-29 05:10:45,18.8 MiB,9.42 MiB,8.68 MiB,,99.0 MiB,177 MiB,179 MiB,185 MiB,180 MiB,307 MiB,272 MiB,106 MiB,
2026-07-29 05:11:00,22.0 MiB,8.50 MiB,9.52 MiB,,99.0 MiB,188 MiB,170 MiB,179 MiB,170 MiB,318 MiB,272 MiB,106 MiB,
2026-07-29 05:11:15,18.6 MiB,8.40 MiB,9.52 MiB,,99.0 MiB,192 MiB,182 MiB,178 MiB,187 MiB,296 MiB,291 MiB,106 MiB,
2026-07-29 05:11:30,18.6 MiB,8.16 MiB,8.53 MiB,,99.0 MiB,190 MiB,174 MiB,180 MiB,177 MiB,296 MiB,284 MiB,108 MiB,
2026-07-29 05:11:45,19.6 MiB,8.90 MiB,8.52 MiB,,99.0 MiB,190 MiB,176 MiB,174 MiB,180 MiB,299 MiB,288 MiB,108 MiB,
2026-07-29 05:12:00,20.9 MiB,8.65 MiB,8.52 MiB,,99.0 MiB,179 MiB,176 MiB,181 MiB,174 MiB,304 MiB,287 MiB,108 MiB,
2026-07-29 05:12:15,19.9 MiB,8.58 MiB,9.66 MiB,,99.0 MiB,186 MiB,179 MiB,184 MiB,178 MiB,307 MiB,294 MiB,108 MiB,
2026-07-29 05:12:30,17.7 MiB,8.58 MiB,8.49 MiB,,99.1 MiB,171 MiB,179 MiB,184 MiB,180 MiB,312 MiB,293 MiB,108 MiB,
2026-07-29 05:12:45,20.0 MiB,8.84 MiB,8.49 MiB,,99.1 MiB,183 MiB,179 MiB,179 MiB,180 MiB,310 MiB,296 MiB,108 MiB,
2026-07-29 05:13:00,20.0 MiB,8.60 MiB,8.79 MiB,,99.0 MiB,178 MiB,183 MiB,179 MiB,190 MiB,305 MiB,289 MiB,108 MiB,
2026-07-29 05:13:15,21.7 MiB,9.44 MiB,8.79 MiB,,98.9 MiB,178 MiB,174 MiB,171 MiB,180 MiB,305 MiB,291 MiB,114 MiB,
2026-07-29 05:13:30,23.5 MiB,8.61 MiB,8.24 MiB,,98.9 MiB,178 MiB,183 MiB,181 MiB,180 MiB,305 MiB,291 MiB,114 MiB,
2026-07-29 05:13:45,17.8 MiB,9.72 MiB,8.82 MiB,,98.9 MiB,182 MiB,183 MiB,183 MiB,180 MiB,312 MiB,293 MiB,114 MiB,
2026-07-29 05:14:00,18.9 MiB,9.72 MiB,8.27 MiB,,98.9 MiB,204 MiB,182 MiB,186 MiB,185 MiB,328 MiB,294 MiB,113 MiB,
2026-07-29 05:14:15,21.6 MiB,8.97 MiB,8.51 MiB,,98.9 MiB,183 MiB,181 MiB,182 MiB,177 MiB,292 MiB,283 MiB,113 MiB,
2026-07-29 05:14:30,21.2 MiB,7.96 MiB,8.67 MiB,,99.0 MiB,198 MiB,181 MiB,181 MiB,183 MiB,292 MiB,287 MiB,113 MiB,
2026-07-29 05:14:45,18.4 MiB,8.29 MiB,8.59 MiB,,99.0 MiB,187 MiB,176 MiB,171 MiB,182 MiB,297 MiB,287 MiB,113 MiB,
2026-07-29 05:15:00,18.6 MiB,8.29 MiB,8.59 MiB,,98.9 MiB,188 MiB,176 MiB,171 MiB,182 MiB,298 MiB,287 MiB,113 MiB,
2026-07-29 05:15:15,18.6 MiB,8.06 MiB,8.59 MiB,,98.9 MiB,188 MiB,176 MiB,171 MiB,182 MiB,299 MiB,287 MiB,113 MiB,
2026-07-29 05:15:30,19.5 MiB,8.05 MiB,8.59 MiB,,98.9 MiB,188 MiB,176 MiB,171 MiB,182 MiB,276 MiB,287 MiB,92.1 MiB,
2026-07-29 05:15:45,18.8 MiB,8.05 MiB,8.59 MiB,,98.9 MiB,189 MiB,176 MiB,171 MiB,182 MiB,276 MiB,287 MiB,92.1 MiB,
2026-07-29 05:16:00,17.4 MiB,7.86 MiB,8.59 MiB,,98.9 MiB,189 MiB,176 MiB,171 MiB,182 MiB,273 MiB,287 MiB,92.9 MiB,
2026-07-29 05:16:15,20.6 MiB,7.98 MiB,8.59 MiB,,98.9 MiB,189 MiB,176 MiB,171 MiB,182 MiB,273 MiB,287 MiB,98.0 MiB,
2026-07-29 05:16:30,20.6 MiB,8.09 MiB,8.59 MiB,,99.0 MiB,189 MiB,176 MiB,171 MiB,182 MiB,273 MiB,287 MiB,102 MiB,
2026-07-29 05:16:45,19.1 MiB,8.21 MiB,8.59 MiB,,99.0 MiB,189 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,102 MiB,
2026-07-29 05:17:00,20.4 MiB,8.21 MiB,8.59 MiB,,99.0 MiB,189 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,102 MiB,
2026-07-29 05:17:15,18.9 MiB,7.92 MiB,7.68 MiB,,99.1 MiB,189 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,103 MiB,
2026-07-29 05:17:30,19.4 MiB,7.75 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,273 MiB,287 MiB,103 MiB,
2026-07-29 05:17:45,17.7 MiB,8.07 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,273 MiB,288 MiB,103 MiB,
2026-07-29 05:18:00,17.7 MiB,8.16 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,273 MiB,288 MiB,103 MiB,
2026-07-29 05:18:15,17.7 MiB,8.15 MiB,7.68 MiB,,99.1 MiB,190 MiB,129 MiB,140 MiB,160 MiB,272 MiB,289 MiB,109 MiB,
2026-07-29 05:18:30,17.7 MiB,8.15 MiB,7.68 MiB,,99.2 MiB,190 MiB,129 MiB,140 MiB,160 MiB,272 MiB,289 MiB,109 MiB,
2026-07-29 05:18:45,18.7 MiB,8.07 MiB,7.68 MiB,,99.2 MiB,190 MiB,99.9 MiB,140 MiB,99.0 MiB,272 MiB,175 MiB,110 MiB,
2026-07-29 05:19:00,21.3 MiB,8.07 MiB,7.69 MiB,,99.2 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,272 MiB,175 MiB,116 MiB,
2026-07-29 05:19:15,17.7 MiB,8.07 MiB,7.13 MiB,,99.2 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,272 MiB,175 MiB,116 MiB,
2026-07-29 05:19:30,18.5 MiB,8.34 MiB,7.13 MiB,,99.1 MiB,112 MiB,99.9 MiB,99.8 MiB,99.0 MiB,273 MiB,175 MiB,116 MiB,
