"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-29 05:45:45,10.0 MiB,3.71 MiB,2.49 MiB,32.5 MiB,545 MiB,79.1 MiB,69.2 MiB,70.5 MiB,505 MiB,494 MiB,8.04 MiB
2026-07-29 05:46:00,9.87 MiB,3.71 MiB,2.49 MiB,32.5 MiB,546 MiB,79.6 MiB,85.2 MiB,70.6 MiB,505 MiB,491 MiB,8.06 MiB
2026-07-29 05:46:15,9.98 MiB,3.71 MiB,2.49 MiB,32.5 MiB,549 MiB,84.7 MiB,85.2 MiB,70.6 MiB,511 MiB,491 MiB,8.61 MiB
2026-07-29 05:46:30,9.98 MiB,3.71 MiB,2.49 MiB,32.6 MiB,548 MiB,84.5 MiB,85.5 MiB,70.7 MiB,511 MiB,495 MiB,8.61 MiB
2026-07-29 05:46:45,9.98 MiB,3.71 MiB,2.49 MiB,32.6 MiB,548 MiB,84.5 MiB,85.3 MiB,70.6 MiB,511 MiB,495 MiB,8.55 MiB
2026-07-29 05:47:00,9.98 MiB,4.90 MiB,2.49 MiB,32.6 MiB,548 MiB,84.6 MiB,85.3 MiB,70.6 MiB,511 MiB,495 MiB,8.58 MiB
2026-07-29 05:47:15,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,548 MiB,84.6 MiB,85.4 MiB,70.6 MiB,511 MiB,495 MiB,8.58 MiB
2026-07-29 05:47:30,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,556 MiB,88.1 MiB,88.9 MiB,77.4 MiB,515 MiB,495 MiB,8.66 MiB
2026-07-29 05:47:45,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,557 MiB,92.4 MiB,93.2 MiB,81.3 MiB,516 MiB,499 MiB,8.66 MiB
2026-07-29 05:48:00,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,562 MiB,97.3 MiB,99.6 MiB,81.3 MiB,519 MiB,502 MiB,8.69 MiB
2026-07-29 05:48:15,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,562 MiB,104 MiB,106 MiB,93.4 MiB,522 MiB,502 MiB,8.71 MiB
2026-07-29 05:48:30,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,573 MiB,113 MiB,112 MiB,93.4 MiB,522 MiB,508 MiB,8.73 MiB
2026-07-29 05:48:45,9.98 MiB,9.86 MiB,2.50 MiB,33.2 MiB,579 MiB,113 MiB,118 MiB,104 MiB,527 MiB,511 MiB,8.75 MiB
2026-07-29 05:49:00,10.0 MiB,9.86 MiB,2.50 MiB,33.2 MiB,589 MiB,121 MiB,126 MiB,110 MiB,531 MiB,517 MiB,8.77 MiB
2026-07-29 05:49:15,10.0 MiB,9.86 MiB,2.50 MiB,33.2 MiB,589 MiB,126 MiB,132 MiB,115 MiB,535 MiB,517 MiB,8.78 MiB
2026-07-29 05:49:30,10.0 MiB,9.86 MiB,2.50 MiB,33.2 MiB,596 MiB,132 MiB,132 MiB,122 MiB,539 MiB,521 MiB,8.80 MiB
2026-07-29 05:49:45,10.0 MiB,9.86 MiB,2.50 MiB,33.2 MiB,603 MiB,142 MiB,144 MiB,122 MiB,543 MiB,524 MiB,8.80 MiB
2026-07-29 05:50:00,10.0 MiB,9.86 MiB,2.50 MiB,33.2 MiB,611 MiB,149 MiB,148 MiB,130 MiB,546 MiB,528 MiB,8.83 MiB
2026-07-29 05:50:15,10.0 MiB,9.86 MiB,2.50 MiB,33.2 MiB,616 MiB,155 MiB,153 MiB,137 MiB,546 MiB,532 MiB,8.85 MiB
2026-07-29 05:50:30,10.0 MiB,9.86 MiB,4 KiB,33.2 MiB,624 MiB,161 MiB,161 MiB,147 MiB,552 MiB,536 MiB,8.85 MiB
2026-07-29 05:50:45,10.0 MiB,6.16 MiB,4 KiB,33.2 MiB,84.6 MiB,81.5 MiB,166 MiB,82.6 MiB,49.5 MiB,536 MiB,8.86 MiB
2026-07-29 05:51:00,10.0 MiB,6.16 MiB,4 KiB,33.2 MiB,89.2 MiB,92.9 MiB,88.2 MiB,86.7 MiB,49.5 MiB,49.7 MiB,8.88 MiB
2026-07-29 05:51:15,10.0 MiB,6.16 MiB,4 KiB,33.2 MiB,96.9 MiB,99.4 MiB,94.2 MiB,91.5 MiB,55.7 MiB,55.1 MiB,9.07 MiB
2026-07-29 05:51:30,10.0 MiB,6.16 MiB,4 KiB,33.2 MiB,101 MiB,105 MiB,99.1 MiB,98.9 MiB,60.7 MiB,55.1 MiB,9.10 MiB
2026-07-29 05:51:45,10.0 MiB,6.16 MiB,4 KiB,33.2 MiB,106 MiB,111 MiB,104 MiB,98.9 MiB,63.9 MiB,61.7 MiB,9.12 MiB
2026-07-29 05:52:00,10.0 MiB,6.16 MiB,4 KiB,33.3 MiB,112 MiB,117 MiB,110 MiB,107 MiB,67.2 MiB,65.6 MiB,9.13 MiB
2026-07-29 05:52:15,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,120 MiB,123 MiB,115 MiB,114 MiB,69.7 MiB,68.5 MiB,9.15 MiB
2026-07-29 05:52:30,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,125 MiB,129 MiB,122 MiB,121 MiB,69.7 MiB,68.5 MiB,9.16 MiB
2026-07-29 05:52:45,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,130 MiB,129 MiB,127 MiB,127 MiB,74.8 MiB,73.6 MiB,9.18 MiB
2026-07-29 05:53:00,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,137 MiB,142 MiB,137 MiB,138 MiB,74.8 MiB,81.6 MiB,9.18 MiB
2026-07-29 05:53:15,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,137 MiB,160 MiB,158 MiB,138 MiB,87.6 MiB,81.6 MiB,9.21 MiB
2026-07-29 05:53:30,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,169 MiB,182 MiB,173 MiB,162 MiB,99.9 MiB,93.2 MiB,9.23 MiB
2026-07-29 05:53:45,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,190 MiB,204 MiB,193 MiB,196 MiB,113 MiB,107 MiB,9.24 MiB
2026-07-29 05:54:00,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,213 MiB,204 MiB,217 MiB,214 MiB,113 MiB,116 MiB,9.35 MiB
2026-07-29 05:54:15,10.2 MiB,6.16 MiB,4 KiB,33.3 MiB,171 MiB,225 MiB,217 MiB,214 MiB,125 MiB,116 MiB,9.35 MiB
2026-07-29 05:54:30,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,192 MiB,186 MiB,177 MiB,191 MiB,133 MiB,132 MiB,9.38 MiB
2026-07-29 05:54:45,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,216 MiB,210 MiB,201 MiB,214 MiB,143 MiB,145 MiB,9.39 MiB
2026-07-29 05:55:00,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,236 MiB,235 MiB,226 MiB,230 MiB,157 MiB,145 MiB,9.41 MiB
2026-07-29 05:55:15,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,236 MiB,258 MiB,248 MiB,246 MiB,168 MiB,164 MiB,9.61 MiB
2026-07-29 05:55:30,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,258 MiB,258 MiB,271 MiB,260 MiB,181 MiB,174 MiB,9.62 MiB
2026-07-29 05:55:45,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,276 MiB,278 MiB,289 MiB,260 MiB,181 MiB,174 MiB,9.64 MiB
2026-07-29 05:56:00,10.3 MiB,6.16 MiB,4 KiB,33.3 MiB,295 MiB,298 MiB,245 MiB,236 MiB,198 MiB,203 MiB,9.66 MiB
2026-07-29 05:56:15,10.4 MiB,6.16 MiB,4 KiB,33.3 MiB,256 MiB,259 MiB,264 MiB,267 MiB,210 MiB,212 MiB,9.67 MiB
2026-07-29 05:56:30,10.4 MiB,6.16 MiB,4 KiB,33.3 MiB,277 MiB,283 MiB,278 MiB,267 MiB,210 MiB,212 MiB,9.67 MiB
2026-07-29 05:56:45,10.4 MiB,6.16 MiB,4 KiB,33.3 MiB,309 MiB,308 MiB,278 MiB,292 MiB,225 MiB,229 MiB,9.69 MiB
2026-07-29 05:57:00,10.4 MiB,6.16 MiB,4 KiB,33.3 MiB,309 MiB,324 MiB,312 MiB,310 MiB,237 MiB,241 MiB,9.70 MiB
2026-07-29 05:57:15,10.4 MiB,6.16 MiB,4 KiB,33.3 MiB,333 MiB,347 MiB,329 MiB,326 MiB,249 MiB,250 MiB,9.72 MiB
2026-07-29 05:57:30,10.4 MiB,6.16 MiB,4 KiB,33.3 MiB,355 MiB,367 MiB,351 MiB,349 MiB,259 MiB,260 MiB,9.06 MiB
2026-07-29 05:57:45,10.4 MiB,6.16 MiB,0 B,33.3 MiB,314 MiB,320 MiB,309 MiB,310 MiB,259 MiB,260 MiB,9.07 MiB
2026-07-29 05:58:00,10.4 MiB,6.72 MiB,0 B,33.3 MiB,327 MiB,320 MiB,325 MiB,325 MiB,277 MiB,273 MiB,9.09 MiB
2026-07-29 05:58:15,10.4 MiB,6.72 MiB,0 B,33.3 MiB,356 MiB,344 MiB,347 MiB,351 MiB,288 MiB,279 MiB,9.09 MiB
2026-07-29 05:58:30,10.4 MiB,6.72 MiB,704 KiB,33.3 MiB,386 MiB,377 MiB,384 MiB,351 MiB,308 MiB,294 MiB,9.08 MiB
2026-07-29 05:58:45,10.3 MiB,6.72 MiB,744 KiB,33.3 MiB,420 MiB,411 MiB,407 MiB,415 MiB,308 MiB,324 MiB,9.10 MiB
