"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 00:31:00,0.300%,,,1.35%,0.215%,0.0990%,0.106%,0.115%,1.27%,1.03%,0.319%
2026-07-30 00:31:15,0.349%,,,1.31%,0.207%,0.0990%,0.106%,0.110%,1.13%,1.03%,0.339%
2026-07-30 00:31:30,0.424%,,,1.43%,0.385%,0.210%,0.248%,0.279%,1.49%,1.33%,0.339%
2026-07-30 00:31:45,0.472%,,,1.45%,0.395%,0.218%,0.251%,0.240%,2.10%,1.43%,0.369%
2026-07-30 00:32:00,0.530%,,,1.44%,0.415%,0.211%,0.215%,0.243%,2.20%,1.46%,0.363%
2026-07-30 00:32:15,0.574%,0.00681%,0.00126%,1.48%,0.443%,0.223%,0.244%,0.235%,2.34%,2.11%,0.389%
2026-07-30 00:32:30,0.607%,0.0181%,0.343%,1.53%,1.00%,0.808%,1.42%,0.241%,2.43%,2.35%,0.398%
2026-07-30 00:32:45,0.621%,0.0167%,0.394%,1.60%,1.97%,0.826%,1.66%,1.78%,5.77%,4.38%,0.415%
2026-07-30 00:33:00,0.689%,0.795%,0.749%,1.63%,3.29%,2.58%,2.58%,3.11%,8.37%,5.82%,0.426%
2026-07-30 00:33:15,0.736%,1.22%,1.28%,1.72%,5.00%,4.00%,4.23%,4.84%,11.7%,6.48%,0.450%
2026-07-30 00:33:30,0.758%,1.65%,1.63%,0.938%,6.41%,5.86%,5.51%,6.35%,14.8%,8.53%,0.253%
2026-07-30 00:33:45,0.800%,2.05%,2.06%,0.932%,6.54%,7.42%,5.26%,7.80%,17.5%,10.5%,0.255%
2026-07-30 00:34:00,0.823%,2.44%,2.42%,0.913%,9.59%,8.73%,8.76%,8.95%,20.2%,12.1%,0.259%
2026-07-30 00:34:15,0.870%,2.82%,2.79%,0.907%,10.9%,10.3%,10.1%,10.5%,23.0%,13.7%,0.270%
2026-07-30 00:34:30,0.865%,3.22%,2.89%,0.879%,11.2%,11.7%,11.6%,11.8%,26.2%,13.7%,0.271%
2026-07-30 00:34:45,0.915%,3.18%,3.59%,0.916%,14.0%,11.9%,11.6%,12.1%,29.6%,16.8%,0.277%
2026-07-30 00:35:00,0.860%,4.04%,3.68%,0.905%,15.4%,14.4%,14.3%,14.3%,31.5%,18.4%,0.272%
2026-07-30 00:35:15,0.924%,3.98%,4.33%,0.933%,16.3%,16.0%,16.2%,16.1%,34.5%,19.4%,0.268%
2026-07-30 00:35:30,0.914%,4.85%,4.76%,0.852%,17.9%,17.4%,17.5%,17.3%,36.8%,21.1%,0.249%
2026-07-30 00:35:45,0.980%,5.25%,5.16%,0.852%,19.3%,18.4%,18.5%,18.6%,39.7%,22.5%,0.256%
2026-07-30 00:36:00,0.963%,5.64%,5.52%,0.871%,20.6%,19.8%,19.9%,18.5%,39.7%,24.1%,0.242%
2026-07-30 00:36:15,0.935%,5.63%,5.92%,0.874%,22.4%,21.5%,21.3%,21.3%,45.3%,25.8%,0.236%
2026-07-30 00:36:30,0.923%,6.44%,6.31%,0.862%,23.7%,22.7%,22.8%,22.8%,48.7%,27.4%,0.233%
2026-07-30 00:36:45,0.936%,6.86%,6.66%,0.913%,25.2%,24.2%,24.2%,24.2%,51.7%,28.7%,0.241%
2026-07-30 00:37:00,0.950%,7.27%,7.07%,0.886%,26.6%,25.6%,25.6%,25.4%,54.6%,30.0%,0.229%
2026-07-30 00:37:15,0.968%,7.68%,7.48%,0.888%,28.2%,27.0%,27.0%,26.9%,57.4%,31.1%,0.220%
2026-07-30 00:37:30,0.975%,7.92%,7.72%,0.842%,28.9%,26.9%,27.0%,27.0%,58.0%,31.2%,0.218%
2026-07-30 00:37:45,0.965%,7.87%,7.75%,0.854%,28.8%,27.7%,27.8%,27.7%,58.3%,32.3%,0.216%
2026-07-30 00:38:00,0.971%,7.70%,7.55%,0.857%,28.2%,26.0%,26.8%,26.7%,56.6%,30.1%,0.201%
2026-07-30 00:38:15,0.963%,8.40%,8.49%,0.827%,28.0%,28.0%,27.6%,27.0%,59.7%,33.0%,0.217%
2026-07-30 00:38:30,0.951%,9.08%,8.54%,0.841%,28.1%,28.7%,27.7%,28.2%,64.0%,35.3%,0.205%
2026-07-30 00:38:45,0.951%,9.15%,9.25%,0.878%,29.9%,29.4%,29.9%,29.4%,66.7%,37.1%,0.217%
2026-07-30 00:39:00,0.910%,10.3%,10.4%,0.866%,31.3%,28.0%,30.7%,27.9%,64.4%,38.7%,0.212%
2026-07-30 00:39:15,0.900%,10.5%,10.9%,0.869%,32.0%,31.2%,29.6%,31.2%,72.6%,39.5%,0.227%
2026-07-30 00:39:30,0.938%,11.1%,11.4%,0.805%,33.4%,31.5%,31.8%,32.3%,76.6%,42.7%,0.222%
2026-07-30 00:39:45,0.899%,12.1%,12.3%,0.808%,34.5%,31.7%,31.8%,33.3%,81.0%,44.2%,0.226%
2026-07-30 00:40:00,0.925%,12.7%,11.8%,0.796%,32.7%,33.9%,33.9%,34.4%,82.7%,46.5%,0.219%
2026-07-30 00:40:15,0.934%,12.7%,13.0%,0.782%,35.7%,32.2%,35.0%,34.9%,86.8%,45.7%,0.224%
2026-07-30 00:40:30,0.857%,13.4%,13.9%,0.773%,36.9%,36.3%,35.1%,36.0%,90.3%,50.7%,0.225%
2026-07-30 00:40:45,0.901%,13.0%,14.7%,0.806%,38.0%,36.8%,37.1%,37.5%,89.8%,52.4%,0.235%
2026-07-30 00:41:00,0.910%,15.0%,15.5%,0.776%,38.9%,37.8%,35.2%,38.4%,95.4%,54.8%,0.238%
2026-07-30 00:41:15,0.929%,15.6%,16.3%,0.799%,39.1%,36.5%,39.1%,39.1%,91.0%,57.0%,0.231%
2026-07-30 00:41:30,0.895%,16.1%,16.4%,0.745%,40.8%,39.8%,40.2%,40.8%,104%,56.6%,0.226%
2026-07-30 00:41:45,0.884%,17.0%,17.2%,0.745%,41.9%,41.8%,41.2%,41.6%,108%,59.5%,0.227%
2026-07-30 00:42:00,0.869%,17.5%,17.9%,0.735%,42.7%,42.7%,42.2%,42.8%,113%,62.4%,0.219%
2026-07-30 00:42:15,0.882%,17.8%,18.7%,0.738%,42.6%,44.2%,43.7%,43.7%,113%,64.5%,0.222%
2026-07-30 00:42:30,0.885%,18.4%,19.3%,0.716%,44.7%,44.3%,44.9%,45.1%,117%,63.7%,0.211%
2026-07-30 00:42:45,0.891%,18.5%,20.3%,0.735%,44.5%,45.0%,46.9%,47.0%,123%,69.9%,0.223%
2026-07-30 00:43:00,0.870%,19.4%,19.1%,0.740%,46.4%,46.0%,46.8%,44.6%,124%,69.9%,0.230%
2026-07-30 00:43:15,0.876%,18.4%,19.4%,0.752%,46.4%,45.2%,45.4%,45.2%,121%,66.7%,0.231%
2026-07-30 00:43:30,0.867%,19.3%,19.8%,0.668%,46.1%,45.6%,45.8%,45.6%,121%,69.0%,0.228%
2026-07-30 00:43:45,0.874%,19.3%,19.7%,0.713%,46.7%,44.8%,46.6%,44.6%,118%,70.0%,0.225%
2026-07-30 00:44:00,0.861%,19.7%,20.2%,0.690%,48.2%,47.0%,47.2%,47.4%,124%,71.0%,0.225%
2026-07-30 00:44:15,0.853%,19.7%,20.0%,0.695%,49.4%,47.7%,47.7%,47.8%,127%,70.9%,0.217%
2026-07-30 00:44:30,0.842%,19.7%,20.0%,0.665%,50.2%,48.2%,46.9%,48.5%,128%,72.1%,0.219%
2026-07-30 00:44:45,0.849%,19.8%,19.6%,0.703%,49.6%,46.2%,46.0%,46.2%,129%,73.0%,0.221%
2026-07-30 00:45:00,0.827%,20.2%,20.5%,0.674%,51.8%,47.9%,49.8%,50.1%,132%,74.3%,0.221%
2026-07-30 00:45:15,0.797%,20.2%,20.4%,0.703%,52.8%,50.0%,50.6%,50.1%,132%,71.4%,0.218%
2026-07-30 00:45:30,0.816%,18.2%,20.6%,0.650%,53.5%,50.9%,51.1%,51.2%,135%,75.9%,0.206%
2026-07-30 00:45:45,0.797%,20.5%,20.4%,0.655%,54.8%,51.4%,52.1%,52.0%,137%,76.6%,0.204%
2026-07-30 00:46:00,0.776%,20.7%,20.5%,0.648%,55.3%,50.4%,52.4%,52.8%,128%,77.6%,0.205%
2026-07-30 00:46:15,0.754%,19.7%,20.9%,0.645%,53.6%,52.9%,53.3%,53.4%,140%,78.9%,0.212%
2026-07-30 00:46:30,0.765%,21.0%,20.8%,0.614%,57.3%,53.4%,53.9%,53.9%,141%,78.9%,0.207%
2026-07-30 00:46:45,0.764%,20.9%,20.6%,0.667%,58.2%,51.3%,54.5%,54.7%,142%,76.5%,0.206%
2026-07-30 00:47:00,0.759%,21.2%,19.8%,0.650%,56.6%,54.8%,54.9%,53.0%,144%,80.6%,0.214%
2026-07-30 00:47:15,0.756%,21.6%,21.0%,0.651%,59.5%,55.8%,55.6%,55.9%,145%,76.8%,0.207%
2026-07-30 00:47:30,0.744%,21.0%,21.1%,0.578%,58.5%,56.4%,54.6%,56.4%,147%,82.2%,0.199%
2026-07-30 00:47:45,0.719%,22.1%,21.4%,0.605%,61.2%,57.5%,57.0%,57.2%,148%,83.6%,0.200%
