"Time","cadvisor","compassionate_colden","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","reverent_euclid"
2026-07-30 00:31:00,19.1 MiB,1.14 MiB,1.85 MiB,2.11 MiB,139 MiB,30.3 MiB,20.7 MiB,24.4 MiB,25.6 MiB,160 MiB,151 MiB,47.1 MiB,
2026-07-30 00:31:15,17.4 MiB,1.14 MiB,1.85 MiB,2.11 MiB,139 MiB,37.0 MiB,27.3 MiB,31.5 MiB,32.5 MiB,169 MiB,157 MiB,61.7 MiB,
2026-07-30 00:31:30,14.5 MiB,1.14 MiB,1.85 MiB,2.11 MiB,139 MiB,54.5 MiB,39.1 MiB,48.7 MiB,48.4 MiB,266 MiB,191 MiB,61.7 MiB,
2026-07-30 00:31:45,14.7 MiB,1.14 MiB,1.85 MiB,2.11 MiB,139 MiB,54.5 MiB,47.7 MiB,48.7 MiB,48.4 MiB,315 MiB,258 MiB,65.2 MiB,1.19 MiB
2026-07-30 00:32:00,17.0 MiB,1.14 MiB,3.38 MiB,5.26 MiB,139 MiB,55.6 MiB,47.8 MiB,49.8 MiB,48.4 MiB,315 MiB,258 MiB,65.3 MiB,1.19 MiB
2026-07-30 00:32:15,17.3 MiB,1.14 MiB,5.63 MiB,5.73 MiB,139 MiB,57.4 MiB,47.5 MiB,49.8 MiB,50.8 MiB,320 MiB,311 MiB,69.6 MiB,1.19 MiB
2026-07-30 00:32:30,19.8 MiB,1.14 MiB,7.34 MiB,9.73 MiB,139 MiB,60.5 MiB,49.0 MiB,58.0 MiB,50.8 MiB,320 MiB,311 MiB,69.6 MiB,1.19 MiB
2026-07-30 00:32:45,19.8 MiB,1.14 MiB,7.34 MiB,9.73 MiB,116 MiB,68.5 MiB,49.0 MiB,58.0 MiB,63.4 MiB,259 MiB,251 MiB,71.9 MiB,1.19 MiB
2026-07-30 00:33:00,18.7 MiB,1.14 MiB,9.75 MiB,9.82 MiB,116 MiB,66.2 MiB,57.9 MiB,61.5 MiB,66.6 MiB,260 MiB,253 MiB,71.9 MiB,1.19 MiB
2026-07-30 00:33:15,22.5 MiB,1.14 MiB,9.37 MiB,9.55 MiB,116 MiB,74.6 MiB,65.9 MiB,68.5 MiB,73.4 MiB,272 MiB,253 MiB,71.9 MiB,1.19 MiB
2026-07-30 00:33:30,19.1 MiB,1.14 MiB,9.70 MiB,10.2 MiB,116 MiB,80.2 MiB,72.5 MiB,74.0 MiB,80.0 MiB,273 MiB,259 MiB,71.9 MiB,1.19 MiB
2026-07-30 00:33:45,15.6 MiB,1.14 MiB,8.98 MiB,9.60 MiB,116 MiB,80.2 MiB,79.1 MiB,74.0 MiB,87.9 MiB,280 MiB,265 MiB,71.9 MiB,1.19 MiB
2026-07-30 00:34:00,19.8 MiB,1.14 MiB,9.34 MiB,9.86 MiB,116 MiB,97.6 MiB,86.6 MiB,91.1 MiB,99.1 MiB,295 MiB,281 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:34:15,20.7 MiB,1.14 MiB,8.97 MiB,9.63 MiB,116 MiB,101 MiB,92.3 MiB,96.5 MiB,101 MiB,300 MiB,287 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:34:30,20.7 MiB,1.14 MiB,9.02 MiB,9.63 MiB,116 MiB,101 MiB,101 MiB,103 MiB,105 MiB,302 MiB,287 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:34:45,14.7 MiB,1.14 MiB,9.02 MiB,9.79 MiB,116 MiB,118 MiB,101 MiB,103 MiB,105 MiB,315 MiB,291 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:35:00,14.7 MiB,1.14 MiB,9.21 MiB,9.79 MiB,116 MiB,122 MiB,115 MiB,116 MiB,118 MiB,315 MiB,302 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:35:15,22.9 MiB,1.14 MiB,9.21 MiB,9.45 MiB,116 MiB,122 MiB,120 MiB,125 MiB,125 MiB,325 MiB,310 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:35:30,18.0 MiB,,9.59 MiB,9.52 MiB,116 MiB,128 MiB,129 MiB,130 MiB,131 MiB,327 MiB,315 MiB,77.5 MiB,1.19 MiB
2026-07-30 00:35:45,19.7 MiB,,7.44 MiB,7.30 MiB,116 MiB,134 MiB,108 MiB,106 MiB,134 MiB,177 MiB,171 MiB,79.7 MiB,1.19 MiB
2026-07-30 00:36:00,21.5 MiB,,7.50 MiB,7.66 MiB,116 MiB,118 MiB,115 MiB,121 MiB,109 MiB,177 MiB,186 MiB,79.7 MiB,1.19 MiB
2026-07-30 00:36:15,22.0 MiB,,7.50 MiB,7.33 MiB,116 MiB,123 MiB,125 MiB,122 MiB,122 MiB,194 MiB,188 MiB,79.8 MiB,1.19 MiB
2026-07-30 00:36:30,18.3 MiB,,7.49 MiB,7.55 MiB,116 MiB,123 MiB,125 MiB,128 MiB,130 MiB,204 MiB,195 MiB,79.8 MiB,1.19 MiB
2026-07-30 00:36:45,19.7 MiB,,8.31 MiB,7.55 MiB,116 MiB,131 MiB,143 MiB,135 MiB,147 MiB,219 MiB,195 MiB,78.9 MiB,
2026-07-30 00:37:00,22.9 MiB,,7.14 MiB,7.31 MiB,116 MiB,139 MiB,143 MiB,144 MiB,144 MiB,221 MiB,218 MiB,78.9 MiB,
2026-07-30 00:37:15,19.0 MiB,,7.45 MiB,7.68 MiB,116 MiB,140 MiB,144 MiB,144 MiB,144 MiB,221 MiB,218 MiB,78.9 MiB,
2026-07-30 00:37:30,19.1 MiB,,7.45 MiB,7.39 MiB,116 MiB,140 MiB,144 MiB,144 MiB,144 MiB,221 MiB,218 MiB,79.0 MiB,
2026-07-30 00:37:45,17.9 MiB,,7.84 MiB,7.42 MiB,116 MiB,140 MiB,146 MiB,143 MiB,142 MiB,224 MiB,221 MiB,79.0 MiB,
2026-07-30 00:38:00,19.7 MiB,,7.57 MiB,7.98 MiB,116 MiB,157 MiB,146 MiB,144 MiB,142 MiB,223 MiB,224 MiB,79.0 MiB,
2026-07-30 00:38:15,22.3 MiB,,7.52 MiB,7.70 MiB,116 MiB,157 MiB,154 MiB,158 MiB,158 MiB,243 MiB,243 MiB,83.1 MiB,
2026-07-30 00:38:30,21.3 MiB,,8.39 MiB,7.70 MiB,116 MiB,160 MiB,158 MiB,160 MiB,158 MiB,247 MiB,244 MiB,83.1 MiB,
