"Time","awesome_agnesi","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","hungry_mcclintock","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 07:45:45,,20.3 MiB,8.04 MiB,8.39 MiB,98.4 MiB,,179 MiB,174 MiB,173 MiB,169 MiB,301 MiB,300 MiB,103 MiB
2026-07-30 07:46:00,,20.2 MiB,8.70 MiB,8.46 MiB,98.4 MiB,,186 MiB,174 MiB,180 MiB,168 MiB,301 MiB,300 MiB,103 MiB
2026-07-30 07:46:15,,17.9 MiB,8.70 MiB,8.46 MiB,98.4 MiB,,194 MiB,175 MiB,183 MiB,175 MiB,302 MiB,306 MiB,105 MiB
2026-07-30 07:46:30,1.17 MiB,17.9 MiB,8.70 MiB,8.46 MiB,98.4 MiB,104 KiB,217 MiB,201 MiB,183 MiB,194 MiB,398 MiB,306 MiB,107 MiB
2026-07-30 07:46:45,1.17 MiB,14.6 MiB,8.70 MiB,8.46 MiB,98.4 MiB,104 KiB,217 MiB,201 MiB,206 MiB,194 MiB,398 MiB,450 MiB,107 MiB
2026-07-30 07:47:00,1.17 MiB,18.3 MiB,11.7 MiB,10.5 MiB,98.4 MiB,104 KiB,218 MiB,202 MiB,207 MiB,194 MiB,454 MiB,457 MiB,109 MiB
2026-07-30 07:47:15,1.17 MiB,17.2 MiB,12.3 MiB,12.1 MiB,98.4 MiB,104 KiB,218 MiB,202 MiB,207 MiB,195 MiB,462 MiB,457 MiB,109 MiB
2026-07-30 07:47:30,1.17 MiB,17.9 MiB,16.0 MiB,15.5 MiB,98.4 MiB,104 KiB,227 MiB,211 MiB,215 MiB,202 MiB,462 MiB,516 MiB,123 MiB
2026-07-30 07:47:45,1.17 MiB,20.1 MiB,16.4 MiB,16.1 MiB,98.4 MiB,104 KiB,227 MiB,211 MiB,217 MiB,202 MiB,392 MiB,516 MiB,124 MiB
2026-07-30 07:48:00,1.17 MiB,21.2 MiB,16.4 MiB,16.0 MiB,98.4 MiB,104 KiB,225 MiB,213 MiB,224 MiB,207 MiB,394 MiB,393 MiB,124 MiB
2026-07-30 07:48:15,1.17 MiB,19.3 MiB,16.5 MiB,16.4 MiB,98.4 MiB,104 KiB,240 MiB,220 MiB,231 MiB,207 MiB,413 MiB,399 MiB,124 MiB
2026-07-30 07:48:30,1.17 MiB,20.1 MiB,16.6 MiB,15.9 MiB,98.4 MiB,104 KiB,241 MiB,225 MiB,236 MiB,222 MiB,414 MiB,399 MiB,124 MiB
2026-07-30 07:48:45,1.17 MiB,20.1 MiB,16.3 MiB,15.9 MiB,98.5 MiB,104 KiB,248 MiB,237 MiB,239 MiB,226 MiB,419 MiB,412 MiB,124 MiB
2026-07-30 07:49:00,1.17 MiB,18.3 MiB,16.3 MiB,15.9 MiB,98.5 MiB,104 KiB,248 MiB,244 MiB,251 MiB,226 MiB,419 MiB,424 MiB,124 MiB
2026-07-30 07:49:15,1.17 MiB,19.1 MiB,16.6 MiB,15.9 MiB,98.5 MiB,104 KiB,263 MiB,252 MiB,257 MiB,244 MiB,436 MiB,439 MiB,130 MiB
2026-07-30 07:49:30,1.17 MiB,19.1 MiB,16.4 MiB,15.9 MiB,98.5 MiB,104 KiB,269 MiB,259 MiB,264 MiB,250 MiB,436 MiB,439 MiB,130 MiB
2026-07-30 07:49:45,1.17 MiB,18.4 MiB,16.4 MiB,15.9 MiB,98.5 MiB,104 KiB,276 MiB,259 MiB,264 MiB,256 MiB,445 MiB,443 MiB,130 MiB
2026-07-30 07:50:00,1.17 MiB,18.6 MiB,16.4 MiB,15.8 MiB,98.5 MiB,104 KiB,284 MiB,274 MiB,270 MiB,272 MiB,448 MiB,462 MiB,118 MiB
2026-07-30 07:50:15,1.17 MiB,18.6 MiB,16.2 MiB,15.9 MiB,98.5 MiB,104 KiB,293 MiB,277 MiB,282 MiB,270 MiB,464 MiB,462 MiB,118 MiB
2026-07-30 07:50:30,1.17 MiB,21.0 MiB,16.3 MiB,16.1 MiB,98.5 MiB,104 KiB,296 MiB,277 MiB,286 MiB,270 MiB,467 MiB,467 MiB,118 MiB
2026-07-30 07:50:45,1.17 MiB,21.0 MiB,16.4 MiB,16.1 MiB,98.5 MiB,104 KiB,304 MiB,110 MiB,292 MiB,279 MiB,176 MiB,169 MiB,118 MiB
2026-07-30 07:51:00,1.17 MiB,17.5 MiB,8.18 MiB,7.61 MiB,98.5 MiB,104 KiB,123 MiB,130 MiB,112 MiB,128 MiB,188 MiB,196 MiB,121 MiB
2026-07-30 07:51:15,1.17 MiB,19.9 MiB,7.81 MiB,7.61 MiB,98.5 MiB,104 KiB,129 MiB,130 MiB,126 MiB,130 MiB,188 MiB,197 MiB,123 MiB
2026-07-30 07:51:30,,19.0 MiB,7.81 MiB,7.45 MiB,98.5 MiB,,129 MiB,133 MiB,126 MiB,135 MiB,190 MiB,201 MiB,124 MiB
2026-07-30 07:51:45,,19.0 MiB,8.02 MiB,7.87 MiB,98.5 MiB,,144 MiB,143 MiB,133 MiB,144 MiB,190 MiB,209 MiB,119 MiB
2026-07-30 07:52:00,,17.8 MiB,8.02 MiB,7.34 MiB,98.5 MiB,,144 MiB,141 MiB,142 MiB,143 MiB,212 MiB,209 MiB,119 MiB
2026-07-30 07:52:15,,17.7 MiB,7.74 MiB,7.24 MiB,98.5 MiB,,142 MiB,142 MiB,142 MiB,143 MiB,213 MiB,214 MiB,119 MiB
2026-07-30 07:52:30,,18.6 MiB,7.65 MiB,7.61 MiB,98.5 MiB,,144 MiB,142 MiB,143 MiB,142 MiB,213 MiB,214 MiB,119 MiB
2026-07-30 07:52:45,,22.3 MiB,8.14 MiB,7.36 MiB,98.5 MiB,,143 MiB,149 MiB,143 MiB,144 MiB,217 MiB,216 MiB,119 MiB
2026-07-30 07:53:00,,22.3 MiB,7.75 MiB,7.69 MiB,98.5 MiB,,160 MiB,159 MiB,152 MiB,154 MiB,235 MiB,221 MiB,119 MiB
2026-07-30 07:53:15,,18.9 MiB,7.72 MiB,7.69 MiB,98.5 MiB,,161 MiB,159 MiB,154 MiB,158 MiB,236 MiB,238 MiB,120 MiB
2026-07-30 07:53:30,,20.5 MiB,8.59 MiB,8.45 MiB,98.5 MiB,,163 MiB,158 MiB,155 MiB,158 MiB,245 MiB,242 MiB,120 MiB
2026-07-30 07:53:45,,21.1 MiB,8.39 MiB,8.38 MiB,98.6 MiB,,163 MiB,158 MiB,155 MiB,162 MiB,242 MiB,242 MiB,120 MiB
2026-07-30 07:54:00,,23.2 MiB,8.39 MiB,7.55 MiB,98.6 MiB,,163 MiB,158 MiB,157 MiB,162 MiB,240 MiB,246 MiB,92.2 MiB
2026-07-30 07:54:15,,23.2 MiB,7.95 MiB,8.13 MiB,98.6 MiB,,164 MiB,163 MiB,156 MiB,161 MiB,240 MiB,244 MiB,92.2 MiB
2026-07-30 07:54:30,,21.8 MiB,8 MiB,8.42 MiB,98.6 MiB,,161 MiB,163 MiB,159 MiB,159 MiB,253 MiB,249 MiB,92.2 MiB
2026-07-30 07:54:45,,20.1 MiB,7.92 MiB,8.09 MiB,98.6 MiB,,163 MiB,158 MiB,157 MiB,160 MiB,247 MiB,248 MiB,92.2 MiB
2026-07-30 07:55:00,,20.1 MiB,7.89 MiB,9.45 MiB,98.6 MiB,,163 MiB,162 MiB,155 MiB,162 MiB,248 MiB,249 MiB,92.3 MiB
2026-07-30 07:55:15,,17.5 MiB,7.65 MiB,8.36 MiB,98.6 MiB,,164 MiB,158 MiB,157 MiB,158 MiB,255 MiB,251 MiB,93.1 MiB
2026-07-30 07:55:30,,17.5 MiB,8.03 MiB,8.44 MiB,98.6 MiB,,162 MiB,160 MiB,157 MiB,158 MiB,255 MiB,251 MiB,94.0 MiB
2026-07-30 07:55:45,,19.2 MiB,8.00 MiB,8.44 MiB,98.6 MiB,,164 MiB,159 MiB,156 MiB,159 MiB,257 MiB,251 MiB,95.0 MiB
2026-07-30 07:56:00,,17.8 MiB,7.77 MiB,8.54 MiB,98.6 MiB,,164 MiB,160 MiB,157 MiB,159 MiB,257 MiB,256 MiB,95.2 MiB
2026-07-30 07:56:15,,17.8 MiB,8.01 MiB,8.02 MiB,98.6 MiB,,162 MiB,160 MiB,156 MiB,160 MiB,259 MiB,257 MiB,97.8 MiB
2026-07-30 07:56:30,,19.2 MiB,8.95 MiB,8.53 MiB,98.6 MiB,,163 MiB,160 MiB,157 MiB,160 MiB,262 MiB,257 MiB,100 MiB
2026-07-30 07:56:45,,17.8 MiB,8.43 MiB,7.88 MiB,98.5 MiB,,165 MiB,160 MiB,159 MiB,157 MiB,258 MiB,273 MiB,101 MiB
2026-07-30 07:57:00,,19.2 MiB,7.91 MiB,8.08 MiB,98.5 MiB,,165 MiB,160 MiB,158 MiB,161 MiB,260 MiB,254 MiB,101 MiB
2026-07-30 07:57:15,,21.7 MiB,8.51 MiB,8.41 MiB,98.5 MiB,,167 MiB,161 MiB,156 MiB,161 MiB,260 MiB,259 MiB,107 MiB
2026-07-30 07:57:30,,22.4 MiB,8.51 MiB,7.68 MiB,98.5 MiB,,167 MiB,163 MiB,157 MiB,161 MiB,259 MiB,259 MiB,107 MiB
2026-07-30 07:57:45,,22.4 MiB,7.99 MiB,8.24 MiB,98.5 MiB,,165 MiB,163 MiB,157 MiB,159 MiB,264 MiB,259 MiB,107 MiB
2026-07-30 07:58:00,,19.1 MiB,8.23 MiB,8.24 MiB,98.5 MiB,,164 MiB,163 MiB,158 MiB,159 MiB,261 MiB,259 MiB,108 MiB
2026-07-30 07:58:15,,17.6 MiB,7.98 MiB,8.61 MiB,98.5 MiB,,164 MiB,157 MiB,157 MiB,160 MiB,265 MiB,266 MiB,108 MiB
2026-07-30 07:58:30,,17.8 MiB,8.54 MiB,7.78 MiB,98.5 MiB,,160 MiB,164 MiB,154 MiB,158 MiB,270 MiB,271 MiB,108 MiB
2026-07-30 07:58:45,,18.7 MiB,8.85 MiB,8.73 MiB,98.6 MiB,,160 MiB,164 MiB,167 MiB,171 MiB,287 MiB,275 MiB,108 MiB
2026-07-30 07:59:00,,19.1 MiB,9.04 MiB,9.80 MiB,98.7 MiB,,165 MiB,163 MiB,162 MiB,163 MiB,287 MiB,288 MiB,108 MiB
2026-07-30 07:59:15,,19.8 MiB,8.45 MiB,8.69 MiB,98.6 MiB,,165 MiB,163 MiB,158 MiB,163 MiB,341 MiB,281 MiB,109 MiB
