"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dreamy_ardinghelli","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 01:19:15,19.2 MiB,10.4 MiB,9.32 MiB,,116 MiB,181 MiB,170 MiB,181 MiB,172 MiB,315 MiB,307 MiB,96.0 MiB
2026-07-30 01:19:30,19.3 MiB,10.4 MiB,9.32 MiB,,116 MiB,188 MiB,177 MiB,188 MiB,178 MiB,322 MiB,317 MiB,96.1 MiB
2026-07-30 01:19:45,19.6 MiB,10.4 MiB,9.32 MiB,1.17 MiB,116 MiB,206 MiB,177 MiB,205 MiB,178 MiB,354 MiB,349 MiB,96.1 MiB
2026-07-30 01:20:00,19.6 MiB,10.4 MiB,9.32 MiB,1.17 MiB,116 MiB,206 MiB,195 MiB,205 MiB,194 MiB,467 MiB,417 MiB,96.2 MiB
2026-07-30 01:20:15,18.8 MiB,10.4 MiB,9.32 MiB,1.17 MiB,116 MiB,207 MiB,195 MiB,205 MiB,194 MiB,467 MiB,417 MiB,98.1 MiB
2026-07-30 01:20:30,21.0 MiB,13.4 MiB,11.4 MiB,1.17 MiB,116 MiB,210 MiB,196 MiB,207 MiB,196 MiB,472 MiB,465 MiB,108 MiB
2026-07-30 01:20:45,20.4 MiB,14.1 MiB,11.4 MiB,1.17 MiB,116 MiB,212 MiB,196 MiB,207 MiB,196 MiB,472 MiB,470 MiB,108 MiB
2026-07-30 01:21:00,20.1 MiB,14.1 MiB,16.3 MiB,1.17 MiB,116 MiB,222 MiB,196 MiB,218 MiB,202 MiB,408 MiB,404 MiB,108 MiB
2026-07-30 01:21:15,24.7 MiB,17.7 MiB,16.6 MiB,1.17 MiB,116 MiB,222 MiB,207 MiB,218 MiB,209 MiB,415 MiB,404 MiB,108 MiB
2026-07-30 01:21:30,23.5 MiB,18.2 MiB,16.7 MiB,1.17 MiB,116 MiB,222 MiB,215 MiB,227 MiB,213 MiB,418 MiB,412 MiB,111 MiB
2026-07-30 01:21:45,21.0 MiB,18.0 MiB,16.8 MiB,1.17 MiB,116 MiB,230 MiB,215 MiB,227 MiB,220 MiB,419 MiB,413 MiB,111 MiB
2026-07-30 01:22:00,20.9 MiB,17.7 MiB,16.7 MiB,1.17 MiB,116 MiB,230 MiB,233 MiB,236 MiB,220 MiB,427 MiB,419 MiB,113 MiB
2026-07-30 01:22:15,19.9 MiB,18.2 MiB,16.5 MiB,1.17 MiB,116 MiB,256 MiB,235 MiB,248 MiB,235 MiB,443 MiB,444 MiB,113 MiB
2026-07-30 01:22:30,20.5 MiB,18.2 MiB,17.1 MiB,1.17 MiB,116 MiB,254 MiB,243 MiB,248 MiB,242 MiB,444 MiB,443 MiB,113 MiB
2026-07-30 01:22:45,20.8 MiB,17.9 MiB,16.9 MiB,1.17 MiB,116 MiB,259 MiB,246 MiB,256 MiB,247 MiB,448 MiB,444 MiB,113 MiB
2026-07-30 01:23:00,23.9 MiB,18.1 MiB,17.1 MiB,1.17 MiB,116 MiB,259 MiB,258 MiB,262 MiB,261 MiB,475 MiB,453 MiB,113 MiB
