"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","loving_brahmagupta","musing_black","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:07:30,19.7 MiB,8.77 MiB,9.04 MiB,98.0 MiB,,,182 MiB,178 MiB,171 MiB,173 MiB,313 MiB,307 MiB,113 MiB
2026-07-30 02:07:45,20.0 MiB,8.57 MiB,8.71 MiB,98.1 MiB,,,182 MiB,178 MiB,175 MiB,173 MiB,324 MiB,307 MiB,113 MiB
2026-07-30 02:08:00,20.0 MiB,8.57 MiB,8.71 MiB,98.1 MiB,,,208 MiB,204 MiB,177 MiB,175 MiB,332 MiB,313 MiB,115 MiB
2026-07-30 02:08:15,17.0 MiB,8.57 MiB,8.71 MiB,98.1 MiB,140 KiB,1.17 MiB,208 MiB,204 MiB,177 MiB,194 MiB,431 MiB,351 MiB,118 MiB
2026-07-30 02:08:30,17.0 MiB,8.57 MiB,8.71 MiB,98.1 MiB,140 KiB,1.17 MiB,208 MiB,204 MiB,201 MiB,194 MiB,479 MiB,466 MiB,118 MiB
2026-07-30 02:08:45,17.0 MiB,8.79 MiB,8.71 MiB,98.5 MiB,140 KiB,1.17 MiB,209 MiB,203 MiB,202 MiB,194 MiB,484 MiB,466 MiB,116 MiB
2026-07-30 02:09:00,17.0 MiB,12.3 MiB,12.4 MiB,98.5 MiB,140 KiB,1.17 MiB,209 MiB,203 MiB,202 MiB,194 MiB,484 MiB,470 MiB,116 MiB
2026-07-30 02:09:15,18.1 MiB,16.3 MiB,12.4 MiB,98.5 MiB,140 KiB,1.17 MiB,210 MiB,209 MiB,209 MiB,197 MiB,421 MiB,403 MiB,116 MiB
2026-07-30 02:09:30,19.5 MiB,16.3 MiB,16.2 MiB,98.5 MiB,140 KiB,1.17 MiB,213 MiB,213 MiB,209 MiB,197 MiB,421 MiB,404 MiB,123 MiB
2026-07-30 02:09:45,19.5 MiB,16.0 MiB,16.0 MiB,98.5 MiB,140 KiB,1.17 MiB,218 MiB,219 MiB,209 MiB,207 MiB,422 MiB,404 MiB,123 MiB
2026-07-30 02:10:00,17.2 MiB,15.6 MiB,16.0 MiB,98.2 MiB,140 KiB,1.17 MiB,225 MiB,219 MiB,220 MiB,213 MiB,426 MiB,406 MiB,116 MiB
2026-07-30 02:10:15,18.5 MiB,15.9 MiB,16.2 MiB,98.2 MiB,140 KiB,1.17 MiB,237 MiB,232 MiB,229 MiB,222 MiB,444 MiB,427 MiB,116 MiB
2026-07-30 02:10:30,19.9 MiB,16.0 MiB,16.2 MiB,98.2 MiB,140 KiB,1.17 MiB,240 MiB,241 MiB,233 MiB,227 MiB,445 MiB,428 MiB,116 MiB
