"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","focused_wilson","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peaceful_franklin","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 02:55:45,18.9 MiB,8.98 MiB,9.27 MiB,,98.1 MiB,177 MiB,167 MiB,171 MiB,163 MiB,,310 MiB,302 MiB,104 MiB
2026-07-30 02:56:00,20.0 MiB,8.98 MiB,9.85 MiB,,98.1 MiB,177 MiB,167 MiB,175 MiB,163 MiB,,327 MiB,307 MiB,104 MiB
2026-07-30 02:56:15,16.3 MiB,8.98 MiB,9.85 MiB,,98.1 MiB,178 MiB,167 MiB,176 MiB,166 MiB,,333 MiB,307 MiB,104 MiB
2026-07-30 02:56:30,16.3 MiB,8.98 MiB,9.85 MiB,204 KiB,98.1 MiB,206 MiB,192 MiB,196 MiB,189 MiB,,436 MiB,350 MiB,105 MiB
2026-07-30 02:56:45,19.7 MiB,8.98 MiB,9.85 MiB,204 KiB,98.2 MiB,206 MiB,192 MiB,196 MiB,189 MiB,1.45 MiB,478 MiB,350 MiB,111 MiB
2026-07-30 02:57:00,20.2 MiB,12.0 MiB,11.8 MiB,204 KiB,98.2 MiB,206 MiB,192 MiB,198 MiB,189 MiB,1.45 MiB,487 MiB,464 MiB,113 MiB
2026-07-30 02:57:15,20.0 MiB,12.0 MiB,13.5 MiB,204 KiB,98.2 MiB,207 MiB,192 MiB,198 MiB,190 MiB,1.45 MiB,487 MiB,469 MiB,119 MiB
2026-07-30 02:57:30,18.8 MiB,16.3 MiB,17.3 MiB,204 KiB,98.2 MiB,220 MiB,199 MiB,199 MiB,190 MiB,1.45 MiB,424 MiB,469 MiB,119 MiB
2026-07-30 02:57:45,19.3 MiB,16.4 MiB,17.4 MiB,204 KiB,98.2 MiB,220 MiB,201 MiB,199 MiB,190 MiB,1.45 MiB,426 MiB,405 MiB,119 MiB
2026-07-30 02:58:00,18.1 MiB,16.4 MiB,17.3 MiB,204 KiB,98.2 MiB,215 MiB,211 MiB,211 MiB,200 MiB,1.45 MiB,434 MiB,405 MiB,119 MiB
2026-07-30 02:58:15,17.0 MiB,16.5 MiB,17.0 MiB,204 KiB,98.2 MiB,231 MiB,215 MiB,219 MiB,211 MiB,1.45 MiB,439 MiB,415 MiB,121 MiB
2026-07-30 02:58:30,17.8 MiB,16.3 MiB,16.9 MiB,204 KiB,98.2 MiB,232 MiB,222 MiB,219 MiB,216 MiB,1.45 MiB,440 MiB,418 MiB,121 MiB
2026-07-30 02:58:45,18.2 MiB,16.4 MiB,17.2 MiB,204 KiB,98.4 MiB,238 MiB,228 MiB,230 MiB,225 MiB,1.45 MiB,447 MiB,418 MiB,121 MiB
2026-07-30 02:59:00,18.2 MiB,16.5 MiB,17.6 MiB,204 KiB,98.4 MiB,238 MiB,228 MiB,242 MiB,233 MiB,1.45 MiB,462 MiB,430 MiB,121 MiB
2026-07-30 02:59:15,18.9 MiB,16.2 MiB,17.2 MiB,204 KiB,98.4 MiB,252 MiB,237 MiB,245 MiB,241 MiB,1.45 MiB,463 MiB,443 MiB,121 MiB
2026-07-30 02:59:30,17.3 MiB,16.7 MiB,17.2 MiB,204 KiB,98.4 MiB,259 MiB,249 MiB,254 MiB,246 MiB,1.45 MiB,468 MiB,443 MiB,121 MiB
2026-07-30 02:59:45,17.3 MiB,16.5 MiB,17.5 MiB,204 KiB,99.1 MiB,263 MiB,249 MiB,260 MiB,246 MiB,1.45 MiB,468 MiB,468 MiB,121 MiB
