"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","nervous_moore","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 03:44:00,18.4 MiB,8.61 MiB,8.86 MiB,99.3 MiB,,178 MiB,166 MiB,177 MiB,172 MiB,307 MiB,315 MiB,102 MiB
2026-07-30 03:44:15,18.4 MiB,8.61 MiB,9.04 MiB,99.3 MiB,,178 MiB,166 MiB,177 MiB,175 MiB,317 MiB,315 MiB,103 MiB
2026-07-30 03:44:30,19.9 MiB,8.61 MiB,9.04 MiB,99.3 MiB,,179 MiB,172 MiB,177 MiB,175 MiB,324 MiB,317 MiB,103 MiB
2026-07-30 03:44:45,17.2 MiB,8.61 MiB,9.04 MiB,99.3 MiB,,203 MiB,190 MiB,198 MiB,199 MiB,421 MiB,359 MiB,111 MiB
2026-07-30 03:45:00,17.8 MiB,8.61 MiB,9.04 MiB,99.3 MiB,1.17 MiB,203 MiB,190 MiB,198 MiB,199 MiB,421 MiB,472 MiB,120 MiB
2026-07-30 03:45:15,17.8 MiB,11.6 MiB,10.6 MiB,99.3 MiB,1.17 MiB,204 MiB,189 MiB,199 MiB,201 MiB,469 MiB,472 MiB,120 MiB
2026-07-30 03:45:30,19.2 MiB,12.3 MiB,12.8 MiB,99.3 MiB,1.17 MiB,200 MiB,189 MiB,199 MiB,201 MiB,475 MiB,476 MiB,126 MiB
2026-07-30 03:45:45,17.6 MiB,16.0 MiB,16.6 MiB,99.3 MiB,1.17 MiB,205 MiB,189 MiB,199 MiB,206 MiB,413 MiB,477 MiB,126 MiB
2026-07-30 03:46:00,18.0 MiB,16.0 MiB,16.6 MiB,99.3 MiB,1.17 MiB,213 MiB,205 MiB,207 MiB,211 MiB,413 MiB,415 MiB,126 MiB
2026-07-30 03:46:15,19.8 MiB,15.9 MiB,16.3 MiB,99.3 MiB,1.17 MiB,213 MiB,203 MiB,210 MiB,211 MiB,425 MiB,416 MiB,126 MiB
2026-07-30 03:46:30,21.4 MiB,16.3 MiB,16.8 MiB,99.3 MiB,1.17 MiB,220 MiB,215 MiB,218 MiB,220 MiB,425 MiB,424 MiB,127 MiB
2026-07-30 03:46:45,17.4 MiB,16.3 MiB,16.3 MiB,99.4 MiB,1.17 MiB,226 MiB,220 MiB,218 MiB,229 MiB,432 MiB,425 MiB,129 MiB
2026-07-30 03:47:00,17.4 MiB,16.1 MiB,16.7 MiB,99.4 MiB,1.17 MiB,226 MiB,220 MiB,230 MiB,237 MiB,437 MiB,434 MiB,136 MiB
2026-07-30 03:47:15,18.7 MiB,16.4 MiB,16.7 MiB,99.4 MiB,1.17 MiB,242 MiB,236 MiB,240 MiB,245 MiB,437 MiB,446 MiB,136 MiB
2026-07-30 03:47:30,17.4 MiB,16.0 MiB,16.5 MiB,99.4 MiB,1.17 MiB,245 MiB,241 MiB,244 MiB,245 MiB,455 MiB,450 MiB,136 MiB
2026-07-30 03:47:45,17.4 MiB,15.7 MiB,16.6 MiB,99.4 MiB,1.17 MiB,253 MiB,241 MiB,252 MiB,253 MiB,459 MiB,452 MiB,136 MiB
2026-07-30 03:48:00,17.2 MiB,15.9 MiB,16.9 MiB,99.4 MiB,1.17 MiB,271 MiB,262 MiB,256 MiB,261 MiB,459 MiB,462 MiB,136 MiB
2026-07-30 03:48:15,17.2 MiB,16.2 MiB,16.8 MiB,99.4 MiB,1.17 MiB,270 MiB,263 MiB,267 MiB,272 MiB,479 MiB,473 MiB,136 MiB
2026-07-30 03:48:30,18.2 MiB,16.0 MiB,16.7 MiB,99.4 MiB,1.17 MiB,273 MiB,265 MiB,271 MiB,276 MiB,480 MiB,475 MiB,136 MiB
2026-07-30 03:48:45,20.1 MiB,16.5 MiB,16.7 MiB,99.6 MiB,1.17 MiB,280 MiB,270 MiB,276 MiB,281 MiB,485 MiB,479 MiB,136 MiB
2026-07-30 03:49:00,19.2 MiB,16.1 MiB,16.6 MiB,99.6 MiB,1.17 MiB,102 MiB,104 MiB,113 MiB,295 MiB,506 MiB,188 MiB,136 MiB
2026-07-30 03:49:15,19.2 MiB,7.63 MiB,7.58 MiB,99.5 MiB,1.17 MiB,116 MiB,118 MiB,120 MiB,122 MiB,197 MiB,188 MiB,136 MiB
2026-07-30 03:49:30,17.2 MiB,7.64 MiB,7.58 MiB,99.5 MiB,1.17 MiB,124 MiB,122 MiB,120 MiB,125 MiB,201 MiB,194 MiB,136 MiB
2026-07-30 03:49:45,17.8 MiB,7.29 MiB,8.06 MiB,99.4 MiB,1.17 MiB,127 MiB,127 MiB,125 MiB,134 MiB,206 MiB,200 MiB,136 MiB
2026-07-30 03:50:00,18.0 MiB,7.55 MiB,7.69 MiB,99.4 MiB,,134 MiB,134 MiB,135 MiB,141 MiB,216 MiB,210 MiB,136 MiB
2026-07-30 03:50:15,19.6 MiB,7.37 MiB,7.83 MiB,99.4 MiB,,135 MiB,139 MiB,137 MiB,142 MiB,218 MiB,211 MiB,136 MiB
2026-07-30 03:50:30,19.6 MiB,7.54 MiB,7.83 MiB,99.4 MiB,,137 MiB,139 MiB,138 MiB,143 MiB,219 MiB,211 MiB,136 MiB
2026-07-30 03:50:45,14.4 MiB,7.48 MiB,7.89 MiB,99.4 MiB,,141 MiB,142 MiB,138 MiB,146 MiB,221 MiB,211 MiB,136 MiB
2026-07-30 03:51:00,21.5 MiB,7.19 MiB,7.88 MiB,99.4 MiB,,139 MiB,142 MiB,141 MiB,143 MiB,224 MiB,219 MiB,136 MiB
2026-07-30 03:51:15,17.5 MiB,7.19 MiB,7.61 MiB,99.4 MiB,,148 MiB,142 MiB,139 MiB,149 MiB,235 MiB,219 MiB,136 MiB
2026-07-30 03:51:30,18.3 MiB,7.83 MiB,8.01 MiB,99.4 MiB,,157 MiB,156 MiB,150 MiB,155 MiB,241 MiB,238 MiB,124 MiB
2026-07-30 03:51:45,18.2 MiB,7.83 MiB,8.25 MiB,99.4 MiB,,155 MiB,158 MiB,151 MiB,157 MiB,241 MiB,248 MiB,124 MiB
2026-07-30 03:52:00,17.8 MiB,8.29 MiB,8.25 MiB,99.4 MiB,,159 MiB,159 MiB,151 MiB,158 MiB,255 MiB,249 MiB,124 MiB
2026-07-30 03:52:15,18.2 MiB,8.18 MiB,8.00 MiB,99.4 MiB,,160 MiB,159 MiB,146 MiB,158 MiB,255 MiB,245 MiB,124 MiB
2026-07-30 03:52:30,17.9 MiB,8.51 MiB,8.59 MiB,99.4 MiB,,162 MiB,160 MiB,152 MiB,158 MiB,251 MiB,246 MiB,124 MiB
2026-07-30 03:52:45,18.6 MiB,7.84 MiB,8.02 MiB,99.4 MiB,,158 MiB,160 MiB,154 MiB,156 MiB,258 MiB,246 MiB,124 MiB
2026-07-30 03:53:00,22.2 MiB,7.80 MiB,8.02 MiB,99.4 MiB,,160 MiB,156 MiB,149 MiB,158 MiB,255 MiB,250 MiB,124 MiB
2026-07-30 03:53:15,20.1 MiB,8.93 MiB,8.43 MiB,99.4 MiB,,160 MiB,159 MiB,151 MiB,158 MiB,255 MiB,255 MiB,101 MiB
2026-07-30 03:53:30,14.8 MiB,8.20 MiB,8.63 MiB,99.4 MiB,,160 MiB,160 MiB,149 MiB,155 MiB,259 MiB,257 MiB,101 MiB
2026-07-30 03:53:45,18.8 MiB,8.04 MiB,8.71 MiB,99.4 MiB,,163 MiB,157 MiB,157 MiB,154 MiB,259 MiB,258 MiB,101 MiB
2026-07-30 03:54:00,17.6 MiB,7.96 MiB,8.71 MiB,99.4 MiB,,161 MiB,157 MiB,154 MiB,151 MiB,262 MiB,258 MiB,101 MiB
2026-07-30 03:54:15,18.5 MiB,7.53 MiB,7.63 MiB,99.4 MiB,,161 MiB,157 MiB,154 MiB,157 MiB,262 MiB,259 MiB,101 MiB
2026-07-30 03:54:30,20.7 MiB,8.75 MiB,8.75 MiB,99.4 MiB,,160 MiB,159 MiB,153 MiB,157 MiB,262 MiB,259 MiB,101 MiB
2026-07-30 03:54:45,18.4 MiB,8.75 MiB,8.52 MiB,99.4 MiB,,162 MiB,158 MiB,153 MiB,157 MiB,271 MiB,262 MiB,101 MiB
