"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","musing_curran","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus","sad_cartwright"
2026-07-30 05:20:45,18.4 MiB,8.24 MiB,8.50 MiB,98.7 MiB,,187 MiB,169 MiB,170 MiB,166 MiB,305 MiB,304 MiB,111 MiB,
2026-07-30 05:21:00,18.4 MiB,8.24 MiB,8.50 MiB,98.7 MiB,,183 MiB,175 MiB,178 MiB,166 MiB,304 MiB,304 MiB,111 MiB,
2026-07-30 05:21:15,14.4 MiB,8.24 MiB,8.50 MiB,98.7 MiB,,187 MiB,178 MiB,180 MiB,187 MiB,343 MiB,310 MiB,111 MiB,136 KiB
2026-07-30 05:21:30,16.8 MiB,8.24 MiB,8.50 MiB,98.7 MiB,1.13 MiB,209 MiB,201 MiB,203 MiB,187 MiB,463 MiB,345 MiB,113 MiB,136 KiB
2026-07-30 05:21:45,17.1 MiB,8.24 MiB,8.50 MiB,98.8 MiB,1.13 MiB,211 MiB,201 MiB,203 MiB,187 MiB,463 MiB,345 MiB,119 MiB,136 KiB
2026-07-30 05:22:00,17.1 MiB,10.5 MiB,11.7 MiB,98.8 MiB,1.13 MiB,211 MiB,201 MiB,205 MiB,188 MiB,471 MiB,460 MiB,119 MiB,136 KiB
2026-07-30 05:22:15,18.3 MiB,12.1 MiB,12.1 MiB,98.8 MiB,1.13 MiB,211 MiB,201 MiB,205 MiB,190 MiB,468 MiB,520 MiB,119 MiB,136 KiB
2026-07-30 05:22:30,19.8 MiB,16.2 MiB,15.8 MiB,98.8 MiB,1.13 MiB,229 MiB,213 MiB,217 MiB,199 MiB,412 MiB,412 MiB,119 MiB,136 KiB
2026-07-30 05:22:45,17.9 MiB,15.9 MiB,16.0 MiB,98.7 MiB,1.13 MiB,220 MiB,213 MiB,215 MiB,199 MiB,407 MiB,404 MiB,119 MiB,136 KiB
2026-07-30 05:23:00,18.4 MiB,15.8 MiB,15.9 MiB,98.7 MiB,1.13 MiB,228 MiB,217 MiB,215 MiB,204 MiB,407 MiB,404 MiB,120 MiB,136 KiB
2026-07-30 05:23:15,18.4 MiB,15.6 MiB,16.1 MiB,98.7 MiB,1.13 MiB,236 MiB,228 MiB,225 MiB,213 MiB,408 MiB,405 MiB,120 MiB,136 KiB
2026-07-30 05:23:30,20.4 MiB,16.0 MiB,16.5 MiB,98.7 MiB,1.13 MiB,249 MiB,243 MiB,232 MiB,221 MiB,408 MiB,426 MiB,120 MiB,136 KiB
2026-07-30 05:23:45,17.9 MiB,16.0 MiB,16.3 MiB,98.7 MiB,1.13 MiB,249 MiB,242 MiB,240 MiB,227 MiB,431 MiB,426 MiB,120 MiB,136 KiB
2026-07-30 05:24:00,20.3 MiB,15.9 MiB,16.2 MiB,98.7 MiB,1.13 MiB,251 MiB,247 MiB,247 MiB,232 MiB,431 MiB,432 MiB,120 MiB,136 KiB
2026-07-30 05:24:15,20.3 MiB,15.8 MiB,15.8 MiB,98.7 MiB,1.13 MiB,259 MiB,251 MiB,253 MiB,232 MiB,436 MiB,443 MiB,120 MiB,136 KiB
2026-07-30 05:24:30,19.8 MiB,15.9 MiB,16.2 MiB,98.7 MiB,1.13 MiB,270 MiB,251 MiB,264 MiB,251 MiB,457 MiB,443 MiB,120 MiB,136 KiB
2026-07-30 05:24:45,17.9 MiB,15.9 MiB,16.2 MiB,98.7 MiB,1.13 MiB,274 MiB,266 MiB,264 MiB,251 MiB,457 MiB,457 MiB,120 MiB,136 KiB
2026-07-30 05:25:00,18.6 MiB,16.1 MiB,15.8 MiB,98.7 MiB,1.13 MiB,278 MiB,268 MiB,272 MiB,261 MiB,459 MiB,457 MiB,120 MiB,136 KiB
2026-07-30 05:25:15,17.9 MiB,15.7 MiB,15.6 MiB,98.7 MiB,1.13 MiB,293 MiB,275 MiB,277 MiB,269 MiB,471 MiB,462 MiB,125 MiB,136 KiB
2026-07-30 05:25:30,17.9 MiB,15.8 MiB,15.6 MiB,98.7 MiB,1.13 MiB,294 MiB,282 MiB,287 MiB,269 MiB,483 MiB,479 MiB,125 MiB,136 KiB
2026-07-30 05:25:45,22.6 MiB,7.61 MiB,7.12 MiB,98.7 MiB,1.13 MiB,300 MiB,292 MiB,290 MiB,108 MiB,483 MiB,176 MiB,125 MiB,136 KiB
2026-07-30 05:26:00,19.9 MiB,8.17 MiB,7.30 MiB,98.7 MiB,1.13 MiB,124 MiB,117 MiB,117 MiB,119 MiB,184 MiB,182 MiB,125 MiB,136 KiB
2026-07-30 05:26:15,18.9 MiB,8.17 MiB,7.92 MiB,98.7 MiB,1.13 MiB,124 MiB,131 MiB,127 MiB,119 MiB,204 MiB,198 MiB,125 MiB,
2026-07-30 05:26:30,19.8 MiB,7.48 MiB,7.61 MiB,98.7 MiB,,140 MiB,136 MiB,137 MiB,133 MiB,207 MiB,210 MiB,125 MiB,
2026-07-30 05:26:45,21.5 MiB,7.45 MiB,7.41 MiB,98.7 MiB,,140 MiB,138 MiB,137 MiB,133 MiB,210 MiB,211 MiB,125 MiB,
2026-07-30 05:27:00,18.9 MiB,7.89 MiB,7.52 MiB,98.7 MiB,,141 MiB,139 MiB,138 MiB,134 MiB,211 MiB,212 MiB,125 MiB,
2026-07-30 05:27:15,20.5 MiB,7.82 MiB,7.42 MiB,98.7 MiB,,143 MiB,143 MiB,143 MiB,139 MiB,221 MiB,216 MiB,125 MiB,
2026-07-30 05:27:30,20.5 MiB,7.46 MiB,7.41 MiB,98.7 MiB,,143 MiB,143 MiB,143 MiB,139 MiB,221 MiB,217 MiB,125 MiB,
2026-07-30 05:27:45,17.3 MiB,7.54 MiB,7.60 MiB,98.7 MiB,,144 MiB,144 MiB,142 MiB,140 MiB,221 MiB,217 MiB,89.9 MiB,
2026-07-30 05:28:00,18.9 MiB,8.52 MiB,8.07 MiB,98.6 MiB,,153 MiB,160 MiB,142 MiB,148 MiB,229 MiB,217 MiB,90.0 MiB,
2026-07-30 05:28:15,18.9 MiB,8.52 MiB,7.65 MiB,98.6 MiB,,162 MiB,161 MiB,155 MiB,152 MiB,251 MiB,244 MiB,90.0 MiB,
2026-07-30 05:28:30,21.5 MiB,7.72 MiB,7.52 MiB,98.6 MiB,,161 MiB,161 MiB,152 MiB,152 MiB,248 MiB,245 MiB,90.0 MiB,
2026-07-30 05:28:45,14.8 MiB,7.95 MiB,8.29 MiB,98.8 MiB,,161 MiB,166 MiB,161 MiB,151 MiB,252 MiB,248 MiB,96.5 MiB,
2026-07-30 05:29:00,17.8 MiB,7.79 MiB,7.75 MiB,98.8 MiB,,166 MiB,166 MiB,157 MiB,153 MiB,250 MiB,251 MiB,96.6 MiB,
2026-07-30 05:29:15,17.8 MiB,7.87 MiB,7.68 MiB,98.8 MiB,,162 MiB,162 MiB,157 MiB,153 MiB,251 MiB,251 MiB,96.7 MiB,
2026-07-30 05:29:30,17.2 MiB,8.52 MiB,8.47 MiB,98.8 MiB,,161 MiB,162 MiB,156 MiB,152 MiB,258 MiB,254 MiB,96.9 MiB,
2026-07-30 05:29:45,18.5 MiB,8.09 MiB,8.47 MiB,99.1 MiB,,160 MiB,159 MiB,157 MiB,153 MiB,256 MiB,254 MiB,96.9 MiB,
2026-07-30 05:30:00,18.9 MiB,7.67 MiB,8.43 MiB,99.1 MiB,,164 MiB,160 MiB,156 MiB,151 MiB,253 MiB,255 MiB,97.0 MiB,
2026-07-30 05:30:15,18.9 MiB,8.34 MiB,8.60 MiB,99.1 MiB,,167 MiB,164 MiB,158 MiB,156 MiB,260 MiB,255 MiB,97.1 MiB,
2026-07-30 05:30:30,20.9 MiB,8.46 MiB,8.13 MiB,99.1 MiB,,162 MiB,161 MiB,158 MiB,150 MiB,259 MiB,257 MiB,97.1 MiB,
2026-07-30 05:30:45,18.1 MiB,7.53 MiB,8.16 MiB,98.9 MiB,,161 MiB,162 MiB,157 MiB,152 MiB,259 MiB,257 MiB,97.2 MiB,
2026-07-30 05:31:00,19.1 MiB,8.51 MiB,8.16 MiB,98.9 MiB,,165 MiB,161 MiB,155 MiB,153 MiB,259 MiB,257 MiB,97.2 MiB,
2026-07-30 05:31:15,21.1 MiB,8.40 MiB,7.82 MiB,98.8 MiB,,162 MiB,158 MiB,156 MiB,150 MiB,266 MiB,259 MiB,97.3 MiB,
2026-07-30 05:31:30,17.4 MiB,8.10 MiB,9.00 MiB,98.8 MiB,,162 MiB,160 MiB,157 MiB,150 MiB,272 MiB,265 MiB,97.3 MiB,
2026-07-30 05:31:45,18.7 MiB,8.10 MiB,8.41 MiB,98.9 MiB,,162 MiB,164 MiB,158 MiB,155 MiB,264 MiB,271 MiB,104 MiB,
2026-07-30 05:32:00,18.7 MiB,7.82 MiB,8.41 MiB,98.9 MiB,,163 MiB,164 MiB,157 MiB,155 MiB,264 MiB,261 MiB,111 MiB,
2026-07-30 05:32:15,17.3 MiB,7.78 MiB,7.89 MiB,98.9 MiB,,163 MiB,164 MiB,157 MiB,153 MiB,268 MiB,261 MiB,111 MiB,
2026-07-30 05:32:30,18.3 MiB,8.65 MiB,7.92 MiB,98.9 MiB,,167 MiB,164 MiB,158 MiB,151 MiB,268 MiB,264 MiB,111 MiB,
2026-07-30 05:32:45,18.6 MiB,8.00 MiB,7.92 MiB,98.9 MiB,,164 MiB,161 MiB,154 MiB,151 MiB,270 MiB,266 MiB,111 MiB,
2026-07-30 05:33:00,18.6 MiB,7.76 MiB,7.82 MiB,98.9 MiB,,164 MiB,161 MiB,156 MiB,155 MiB,268 MiB,268 MiB,111 MiB,
2026-07-30 05:33:15,17.7 MiB,9.36 MiB,8.97 MiB,98.9 MiB,,163 MiB,166 MiB,165 MiB,155 MiB,266 MiB,280 MiB,108 MiB,
2026-07-30 05:33:30,18.1 MiB,8.41 MiB,8.97 MiB,98.9 MiB,,167 MiB,163 MiB,163 MiB,154 MiB,280 MiB,281 MiB,108 MiB,
2026-07-30 05:33:45,18.1 MiB,8.41 MiB,8.53 MiB,99.0 MiB,,167 MiB,172 MiB,161 MiB,162 MiB,283 MiB,281 MiB,108 MiB,
2026-07-30 05:34:00,20.1 MiB,8.89 MiB,8.58 MiB,99.0 MiB,,182 MiB,165 MiB,161 MiB,155 MiB,313 MiB,295 MiB,108 MiB,
2026-07-30 05:34:15,18.7 MiB,8.73 MiB,8.58 MiB,99.0 MiB,,176 MiB,165 MiB,160 MiB,159 MiB,313 MiB,288 MiB,108 MiB,
2026-07-30 05:34:30,18.7 MiB,8.73 MiB,8.57 MiB,99.0 MiB,,168 MiB,166 MiB,157 MiB,155 MiB,285 MiB,286 MiB,108 MiB,
2026-07-30 05:34:45,19.7 MiB,10.3 MiB,8.57 MiB,98.9 MiB,,163 MiB,172 MiB,163 MiB,154 MiB,294 MiB,287 MiB,108 MiB,
2026-07-30 05:35:00,18.0 MiB,10.3 MiB,8.68 MiB,98.9 MiB,,166 MiB,162 MiB,159 MiB,157 MiB,289 MiB,290 MiB,108 MiB,
2026-07-30 05:35:15,18.0 MiB,10.3 MiB,9.48 MiB,98.9 MiB,,169 MiB,167 MiB,163 MiB,157 MiB,320 MiB,292 MiB,108 MiB,
2026-07-30 05:35:30,18.0 MiB,8.79 MiB,9.40 MiB,98.9 MiB,,167 MiB,167 MiB,158 MiB,156 MiB,309 MiB,298 MiB,109 MiB,
2026-07-30 05:35:45,18.0 MiB,8.66 MiB,8.96 MiB,98.9 MiB,,169 MiB,168 MiB,158 MiB,156 MiB,309 MiB,298 MiB,109 MiB,
2026-07-30 05:36:00,18.7 MiB,8.66 MiB,8.41 MiB,98.9 MiB,,165 MiB,169 MiB,164 MiB,158 MiB,297 MiB,288 MiB,109 MiB,
2026-07-30 05:36:15,19.5 MiB,9.39 MiB,8.57 MiB,98.9 MiB,,169 MiB,167 MiB,160 MiB,158 MiB,301 MiB,288 MiB,109 MiB,
2026-07-30 05:36:30,19.5 MiB,8.40 MiB,8.77 MiB,98.9 MiB,,170 MiB,167 MiB,160 MiB,155 MiB,301 MiB,292 MiB,109 MiB,
2026-07-30 05:36:45,17.2 MiB,8.73 MiB,8.98 MiB,98.9 MiB,,169 MiB,167 MiB,162 MiB,163 MiB,314 MiB,293 MiB,109 MiB,
2026-07-30 05:37:00,17.2 MiB,9.00 MiB,8.95 MiB,98.9 MiB,,168 MiB,166 MiB,162 MiB,158 MiB,317 MiB,301 MiB,109 MiB,
2026-07-30 05:37:15,23.2 MiB,8.69 MiB,8.90 MiB,98.9 MiB,,168 MiB,169 MiB,159 MiB,168 MiB,317 MiB,306 MiB,109 MiB,
2026-07-30 05:37:30,21.5 MiB,8.69 MiB,8.71 MiB,98.9 MiB,,167 MiB,169 MiB,167 MiB,168 MiB,320 MiB,306 MiB,109 MiB,
2026-07-30 05:37:45,20.4 MiB,9.15 MiB,8.32 MiB,98.9 MiB,,168 MiB,168 MiB,162 MiB,166 MiB,293 MiB,306 MiB,103 MiB,
2026-07-30 05:38:00,22.2 MiB,9.15 MiB,9.11 MiB,98.9 MiB,,169 MiB,172 MiB,167 MiB,157 MiB,293 MiB,288 MiB,103 MiB,
2026-07-30 05:38:15,17.9 MiB,9.52 MiB,9.11 MiB,98.9 MiB,,174 MiB,172 MiB,167 MiB,165 MiB,309 MiB,288 MiB,103 MiB,
2026-07-30 05:38:30,17.9 MiB,9.10 MiB,9.11 MiB,98.9 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,310 MiB,293 MiB,103 MiB,
2026-07-30 05:38:45,19.2 MiB,8.83 MiB,9.11 MiB,99.3 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,298 MiB,293 MiB,103 MiB,
2026-07-30 05:39:00,17.4 MiB,8.53 MiB,9.11 MiB,99.3 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,275 MiB,293 MiB,103 MiB,
2026-07-30 05:39:15,17.3 MiB,8.57 MiB,9.11 MiB,99.2 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,275 MiB,293 MiB,103 MiB,
2026-07-30 05:39:30,19.0 MiB,8.50 MiB,9.11 MiB,99.2 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,274 MiB,293 MiB,104 MiB,
2026-07-30 05:39:45,17.9 MiB,8.50 MiB,9.11 MiB,99.2 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,274 MiB,293 MiB,105 MiB,
2026-07-30 05:40:00,19.1 MiB,8.81 MiB,9.11 MiB,99.0 MiB,,174 MiB,175 MiB,167 MiB,165 MiB,274 MiB,293 MiB,105 MiB,
2026-07-30 05:40:15,22.9 MiB,8.16 MiB,9.11 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,105 MiB,
2026-07-30 05:40:30,21.0 MiB,8.08 MiB,9.11 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:40:45,18.3 MiB,8.08 MiB,8.80 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:41:00,19.5 MiB,8.02 MiB,8.80 MiB,99.0 MiB,,174 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:41:15,19.5 MiB,8.41 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,106 MiB,
2026-07-30 05:41:30,18.3 MiB,8.41 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,85.8 MiB,
2026-07-30 05:41:45,19.8 MiB,8.32 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,85.8 MiB,
2026-07-30 05:42:00,19.6 MiB,8.32 MiB,8.80 MiB,99.0 MiB,,102 MiB,116 MiB,159 MiB,124 MiB,274 MiB,220 MiB,92.1 MiB,
2026-07-30 05:42:15,23.0 MiB,8.28 MiB,8.80 MiB,99.0 MiB,,102 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,92.1 MiB,
2026-07-30 05:42:30,19.9 MiB,8.51 MiB,7.43 MiB,99.0 MiB,,102 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,98.4 MiB,
2026-07-30 05:42:45,19.9 MiB,8.51 MiB,7.43 MiB,99.0 MiB,,102 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,98.4 MiB,
2026-07-30 05:43:00,18.3 MiB,8.00 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,101 MiB,
2026-07-30 05:43:15,18.1 MiB,7.86 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,101 MiB,
2026-07-30 05:43:30,18.8 MiB,7.86 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,274 MiB,175 MiB,101 MiB,
2026-07-30 05:43:45,20.8 MiB,8.10 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,101 MiB,
2026-07-30 05:44:00,22.0 MiB,7.83 MiB,7.43 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,175 MiB,101 MiB,
2026-07-30 05:44:15,19.1 MiB,8.04 MiB,7.46 MiB,99.0 MiB,,100 MiB,90.8 MiB,90.6 MiB,88.5 MiB,272 MiB,174 MiB,101 MiB,
