"Time","beautiful_archimedes","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:09:15,,18.8 MiB,9.48 MiB,8.14 MiB,98.3 MiB,183 MiB,177 MiB,174 MiB,168 MiB,320 MiB,293 MiB,106 MiB
2026-07-30 06:09:30,,18.8 MiB,9.48 MiB,8.14 MiB,98.3 MiB,185 MiB,183 MiB,175 MiB,168 MiB,327 MiB,296 MiB,106 MiB
2026-07-30 06:09:45,,13.8 MiB,9.48 MiB,8.14 MiB,98.3 MiB,207 MiB,197 MiB,200 MiB,192 MiB,427 MiB,333 MiB,108 MiB
2026-07-30 06:10:00,1.30 MiB,17.6 MiB,9.48 MiB,8.14 MiB,98.3 MiB,207 MiB,197 MiB,200 MiB,192 MiB,468 MiB,401 MiB,108 MiB
2026-07-30 06:10:15,1.30 MiB,21.3 MiB,10.2 MiB,9.80 MiB,98.3 MiB,209 MiB,197 MiB,200 MiB,192 MiB,468 MiB,401 MiB,111 MiB
2026-07-30 06:10:30,1.30 MiB,21.3 MiB,13.3 MiB,11.8 MiB,98.3 MiB,205 MiB,197 MiB,200 MiB,193 MiB,468 MiB,441 MiB,111 MiB
2026-07-30 06:10:45,1.30 MiB,17.4 MiB,16.9 MiB,15.9 MiB,98.3 MiB,210 MiB,197 MiB,201 MiB,193 MiB,468 MiB,441 MiB,110 MiB
2026-07-30 06:11:00,1.30 MiB,17.3 MiB,17.1 MiB,15.7 MiB,98.3 MiB,219 MiB,208 MiB,210 MiB,205 MiB,417 MiB,385 MiB,110 MiB
2026-07-30 06:11:15,1.30 MiB,17.3 MiB,16.6 MiB,15.7 MiB,98.3 MiB,220 MiB,211 MiB,209 MiB,208 MiB,418 MiB,385 MiB,110 MiB
2026-07-30 06:11:30,1.30 MiB,17.2 MiB,16.8 MiB,15.6 MiB,98.3 MiB,226 MiB,218 MiB,219 MiB,208 MiB,421 MiB,388 MiB,110 MiB
2026-07-30 06:11:45,1.30 MiB,14.6 MiB,17.5 MiB,16.4 MiB,98.3 MiB,238 MiB,227 MiB,228 MiB,219 MiB,443 MiB,399 MiB,113 MiB
2026-07-30 06:12:00,1.30 MiB,14.6 MiB,17.5 MiB,15.9 MiB,98.3 MiB,240 MiB,233 MiB,233 MiB,226 MiB,443 MiB,414 MiB,120 MiB
2026-07-30 06:12:15,1.30 MiB,18.3 MiB,16.9 MiB,15.9 MiB,98.3 MiB,246 MiB,238 MiB,240 MiB,238 MiB,445 MiB,415 MiB,120 MiB
2026-07-30 06:12:30,1.30 MiB,18.3 MiB,16.9 MiB,15.8 MiB,98.3 MiB,252 MiB,250 MiB,246 MiB,238 MiB,452 MiB,426 MiB,120 MiB
2026-07-30 06:12:45,1.30 MiB,20.9 MiB,17.2 MiB,15.9 MiB,98.3 MiB,252 MiB,253 MiB,255 MiB,249 MiB,467 MiB,439 MiB,121 MiB
2026-07-30 06:13:00,1.30 MiB,17.5 MiB,16.8 MiB,15.8 MiB,98.3 MiB,267 MiB,261 MiB,258 MiB,253 MiB,469 MiB,441 MiB,121 MiB
