"Time","cadvisor","dev-peer0.org1.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","dev-peer0.org2.example.com-basic_1.0-1f66cc610fb8ac88d69e78edc4c1cb09bac7c839fb5399009310ac8dfa703799","grafana","orderer.example.com","orderer2.example.com","orderer3.example.com","orderer4.example.com","peer0.org1.example.com","peer0.org2.example.com","prometheus"
2026-07-30 06:57:30,19.1 MiB,9.19 MiB,9.40 MiB,98.7 MiB,176 MiB,166 MiB,174 MiB,176 MiB,329 MiB,308 MiB,111 MiB
2026-07-30 06:57:45,18.8 MiB,8.58 MiB,9.40 MiB,98.8 MiB,177 MiB,185 MiB,179 MiB,177 MiB,336 MiB,313 MiB,111 MiB
2026-07-30 06:58:00,16.9 MiB,8.58 MiB,9.40 MiB,98.8 MiB,202 MiB,200 MiB,179 MiB,177 MiB,432 MiB,344 MiB,111 MiB
2026-07-30 06:58:15,19.7 MiB,8.58 MiB,9.40 MiB,98.8 MiB,202 MiB,200 MiB,197 MiB,201 MiB,480 MiB,411 MiB,117 MiB
2026-07-30 06:58:30,17.3 MiB,8.58 MiB,9.40 MiB,98.8 MiB,202 MiB,200 MiB,197 MiB,202 MiB,480 MiB,459 MiB,117 MiB
2026-07-30 06:58:45,18.0 MiB,12.3 MiB,13.1 MiB,98.7 MiB,203 MiB,201 MiB,200 MiB,202 MiB,485 MiB,464 MiB,115 MiB
2026-07-30 06:59:00,20.5 MiB,12.3 MiB,16.0 MiB,98.7 MiB,203 MiB,201 MiB,200 MiB,202 MiB,485 MiB,464 MiB,115 MiB
2026-07-30 06:59:15,17.7 MiB,16.4 MiB,16.8 MiB,98.7 MiB,208 MiB,210 MiB,209 MiB,211 MiB,422 MiB,401 MiB,117 MiB
2026-07-30 06:59:30,18.5 MiB,15.9 MiB,16.9 MiB,98.7 MiB,213 MiB,218 MiB,212 MiB,211 MiB,423 MiB,402 MiB,117 MiB
2026-07-30 06:59:45,17.7 MiB,15.9 MiB,17.0 MiB,99.1 MiB,220 MiB,224 MiB,223 MiB,218 MiB,423 MiB,406 MiB,118 MiB
